25.8, 1510, 1, LTS, III
219.3, 2087, 2, RS, III
219.3, 2238, 2, FS, III
219.3, 3017, 3, FS, III
219.4, 736, 0, FS, III
219.4, 1333, 1, RS, III
219.4, 1353, 1, RS, III
219.4, 1423, 1, RS, III
219.4, 1480, 1, FS, III
219.4, 1488, 1, FS, III
219.5, 559, 0, RS, III
219.5, 1386, 1, RS, III
219.5, 1416, 1, RS, III
219.5, 1489, 1, FS, III
219.5, 1493, 1, FS, III
219.6, 730, 0, FS, III
219.6, 1393, 1, RS, III
219.6, 2257, 2, FS, III
219.7, 2253, 2, FS, III
219.8, 1350, 1, RS, III
219.8, 1355, 1, RS, III
219.8, 1395, 1, RS, III
219.8, 2247, 2, FS, III
219.9, 716, 0, FS, III
219.9, 1318, 1, RS, III
219.9, 1456, 1, RS, III
220, 734, 0, FS, III
220, 1367, 1, RS, III
220, 1426, 1, RS, III
220, 1433, 1, RS, III
220, 1497, 1, FS, III
220, 2194, 2, RS, III
220, 2216, 2, RS, III
220.1, 1349, 1, RS, III
220.1, 1487, 1, FS, III
220.1, 1501, 1, FS, III
220.1, 2252, 2, FS, III
220.2, 1434, 1, RS, III
220.3, 732, 0, FS, III
220.3, 1358, 1, RS, III
220.3, 2116, 2, RS, III
220.4, 675, 0, RS, III
220.4, 2068, 2, RS, III
220.5, 1372, 1, RS, III
220.5, 1490, 1, FS, III
220.6, 1392, 1, RS, III
220.6, 2113, 2, RS, III
220.6, 2237, 2, FS, III
220.7, 1311, 1, RS, III
220.8, 593, 0, RS, III
220.8, 2245, 2, FS, III
220.8, 3003, 3, FS, III
220.9, 3016, 3, FS, III
221, 602, 0, RS, III
221, 1327, 1, RS, III
221, 1394, 1, RS, III
221, 1463, 1, RS, III
221, 2241, 2, FS, III
221, 3007, 3, FS, III
221.1, 718, 0, FS, III
221.1, 724, 0, FS, III
221.1, 1385, 1, RS, III
221.1, 1440, 1, RS, III
221.1, 1441, 1, RS, III
221.1, 2233, 2, RS, III
221.1, 2262, 2, FS, III
221.2, 1475, 1, RS, III
221.2, 2244, 2, FS, III
221.2, 2259, 2, FS, III
221.3, 1381, 1, RS, III
221.3, 1424, 1, RS, III
221.3, 1460, 1, RS, III
221.4, 1363, 1, RS, III
221.4, 1479, 1, FS, III
221.4, 2094, 2, RS, III
221.4, 2181, 2, RS, III
221.4, 3004, 3, FS, III
221.5, 1309, 1, RS, III
221.6, 733, 0, FS, III
221.6, 737, 0, FS, III
221.6, 1396, 1, RS, III
221.6, 1457, 1, RS, III
221.6, 1478, 1, FS, III
221.6, 1495, 1, FS, III
221.6, 1496, 1, FS, III
221.7, 1483, 1, FS, III
221.7, 1500, 1, FS, III
221.7, 2239, 2, FS, III
221.7, 2256, 2, FS, III
221.7, 3020, 3, FS, III
221.8, 546, 0, RS, III
221.8, 1387, 1, RS, III
221.8, 3000, 3, FS, III
221.9, 1399, 1, RS, III
221.9, 2205, 2, RS, III
222, 1373, 1, RS, III
222, 1486, 1, FS, III
222, 2129, 2, RS, III
222, 3012, 3, FS, III
222.1, 719, 0, FS, III
222.1, 1331, 1, RS, III
222.1, 1469, 1, RS, III
222.1, 1484, 1, FS, III
222.1, 2131, 2, RS, III
222.2, 1330, 1, RS, III
222.2, 1374, 1, RS, III
222.2, 3019, 3, FS, III
222.3, 1398, 1, RS, III
222.3, 1454, 1, RS, III
222.3, 2177, 2, RS, III
222.3, 2251, 2, FS, III
222.5, 1391, 1, RS, III
222.5, 1410, 1, RS, III
222.5, 1482, 1, FS, III
222.5, 2119, 2, RS, III
222.5, 2218, 2, RS, III
222.6, 1417, 1, RS, III
222.6, 1491, 1, FS, III
222.6, 2254, 2, FS, III
222.7, 1348, 1, RS, III
222.7, 1411, 1, RS, III
222.7, 1498, 1, FS, III
222.8, 1405, 1, RS, III
222.8, 1480, 1, FS, III
222.8, 1492, 1, FS, III
222.8, 3006, 3, FS, III
222.8, 3014, 3, FS, III
222.9, 1488, 1, FS, III
223, 1476, 1, FS, III
223, 2154, 2, RS, III
223.1, 1494, 1, FS, III
223.1, 2230, 2, RS, III
223.2, 702, 0, RS, III
223.3, 717, 0, FS, III
223.3, 723, 0, FS, III
223.3, 1328, 1, RS, III
223.3, 1427, 1, RS, III
223.3, 1442, 1, RS, III
223.3, 1481, 1, FS, III
223.3, 2240, 2, FS, III
223.4, 1446, 1, RS, III
223.4, 2107, 2, RS, III
223.4, 2123, 2, RS, III
223.5, 1406, 1, RS, III
223.5, 2249, 2, FS, III
223.5, 3022, 3, FS, III
223.6, 551, 0, RS, III
223.6, 591, 0, RS, III
223.6, 1307, 1, RS, III
223.6, 1497, 1, FS, III
223.6, 1501, 1, FS, III
223.6, 2105, 2, RS, III
223.6, 2222, 2, RS, III
223.7, 571, 0, RS, III
223.7, 739, 0, FS, III
223.7, 1339, 1, RS, III
223.7, 1429, 1, RS, III
223.7, 2165, 2, RS, III
223.8, 1338, 1, RS, III
223.8, 2238, 2, FS, III
223.9, 641, 0, RS, III
223.9, 721, 0, FS, III
223.9, 1477, 1, FS, III
223.9, 1489, 1, FS, III
223.9, 3002, 3, FS, III
224, 574, 0, RS, III
224, 2170, 2, RS, III
224, 3015, 3, FS, III
224.1, 3013, 3, FS, III
224.2, 1356, 1, RS, III
224.2, 1452, 1, RS, III
224.2, 3021, 3, FS, III
224.3, 2159, 2, RS, III
224.3, 3793, 4, LTS, III
224.4, 1343, 1, RS, III
224.4, 1419, 1, RS, III
224.4, 1425, 1, RS, III
224.4, 1493, 1, FS, III
224.4, 3001, 3, FS, III
224.4, 3005, 3, FS, III
224.5, 740, 0, FS, III
224.5, 2246, 2, FS, III
224.6, 725, 0, FS, III
224.6, 2077, 2, RS, III
224.6, 2142, 2, RS, III
224.8, 1450, 1, RS, III
224.8, 1521, 1, LTS, III
224.8, 3008, 3, FS, III
224.9, 1389, 1, RS, III
225.1, 2239, 2, FS, III
225.2, 548, 0, RS, III
225.2, 737, 0, FS, III
225.2, 1352, 1, RS, III
225.4, 668, 0, RS, III
225.4, 2260, 2, FS, III
225.5, 1485, 1, FS, III
225.5, 2089, 2, RS, III
225.6, 1334, 1, RS, III
225.6, 1418, 1, RS, III
225.6, 1479, 1, FS, III
225.6, 2098, 2, RS, III
225.7, 729, 0, FS, III
225.7, 1499, 1, FS, III
225.8, 1376, 1, RS, III
225.9, 2104, 2, RS, III
225.9, 2255, 2, FS, III
226, 2262, 2, FS, III
226.2, 1494, 1, FS, III
226.2, 2250, 2, FS, III
226.3, 2242, 2, FS, III
226.3, 2256, 2, FS, III
226.3, 3011, 3, FS, III
226.4, 647, 0, RS, III
226.6, 1357, 1, RS, III
226.9, 2090, 2, RS, III
227, 1372, 1, RS, III
227.1, 1321, 1, RS, III
227.1, 2241, 2, FS, III
227.2, 1451, 1, RS, III
227.4, 552, 0, RS, III
227.5, 1487, 1, FS, III
227.6, 735, 0, FS, III
227.7, 632, 0, RS, III
227.8, 715, 0, FS, III
227.8, 1435, 1, RS, III
228, 1483, 1, FS, III
228.1, 1495, 1, FS, III
228.2, 1428, 1, RS, III
228.2, 2998, 3, FS, III
228.3, 1498, 1, FS, III
228.4, 2254, 2, FS, III
228.6, 2259, 2, FS, III
228.9, 2245, 2, FS, III
228.9, 2253, 2, FS, III
229, 1476, 1, FS, III
229, 2085, 2, RS, III
229.2, 730, 0, FS, III
229.2, 2237, 2, FS, III
229.3, 1346, 1, RS, III
229.3, 1491, 1, FS, III
229.4, 1411, 1, RS, III
229.6, 726, 0, FS, III
229.6, 1402, 1, RS, III
229.7, 3017, 3, FS, III
229.8, 733, 0, FS, III
229.8, 2071, 2, RS, III
229.9, 2084, 2, RS, III
230, 2243, 2, FS, III
230.1, 1323, 1, RS, III
230.1, 1386, 1, RS, III
230.1, 2080, 2, RS, III
230.3, 1500, 1, FS, III
230.3, 2248, 2, FS, III
230.4, 1394, 1, RS, III
230.4, 2097, 2, RS, III
230.5, 2133, 2, RS, III
230.7, 1462, 1, RS, III
230.8, 1318, 1, RS, III
230.8, 2148, 2, RS, III
230.8, 2153, 2, RS, III
231, 2092, 2, RS, III
231, 2187, 2, RS, III
231.4, 1400, 1, RS, III
231.5, 570, 0, RS, III
231.5, 2244, 2, FS, III
231.6, 2252, 2, FS, III
231.7, 684, 0, RS, III
231.7, 1467, 1, RS, III
231.8, 1409, 1, RS, III
231.8, 2247, 2, FS, III
232.1, 628, 0, RS, III
232.4, 595, 0, RS, III
232.4, 677, 0, RS, III
232.4, 2121, 2, RS, III
232.6, 619, 0, RS, III
232.7, 1455, 1, RS, III
233.4, 2147, 2, RS, III
233.6, 2078, 2, RS, III
234, 2214, 2, RS, III
234.1, 1382, 1, RS, III
234.3, 2164, 2, RS, III
234.8, 664, 0, RS, III
234.8, 2158, 2, RS, III
234.9, 2166, 2, RS, III
235.4, 2228, 2, RS, III
235.5, 658, 0, RS, III
235.6, 1380, 1, RS, III
235.6, 2161, 2, RS, III
236, 1361, 1, RS, III
236, 2157, 2, RS, III
236, 2232, 2, RS, III
236.1, 611, 0, RS, III
237.2, 599, 0, RS, III
237.2, 600, 0, RS, III
237.8, 1348, 1, RS, III
238.3, 3802, 4, LTS, III
238.4, 2109, 2, RS, III
239.5, 2135, 2, RS, III
239.6, 2182, 2, RS, III
239.9, 2168, 2, RS, III
240, 2103, 2, RS, III
240.1, 2231, 2, RS, III
240.4, 2234, 2, RS, III
240.8, 624, 0, RS, III
241.3, 2213, 2, RS, III
241.4, 2099, 2, RS, III
241.5, 2169, 2, RS, III
241.6, 2227, 2, RS, III
241.7, 596, 0, RS, III
241.9, 681, 0, RS, III
242.1, 706, 0, RS, III
242.4, 2115, 2, RS, III
242.8, 614, 0, RS, III
243, 564, 0, RS, III
245.4, 2189, 2, RS, III
246.8, 2072, 2, RS, III
246.8, 2190, 2, RS, III
247.1, 2155, 2, RS, III
247.4, 712, 0, RS, III
247.7, 2120, 2, RS, III
248.6, 2146, 2, RS, III
249.7, 2117, 2, RS, III
249.8, 2134, 2, RS, III
249.9, 2132, 2, RS, III
249.9, 2235, 2, RS, III
251.3, 2122, 2, RS, III
251.8, 2125, 2, RS, III
252.1, 672, 0, RS, III
252.2, 2100, 2, RS, III
252.6, 667, 0, RS, III
253.5, 2172, 2, RS, III
254.4, 2186, 2, RS, III
254.5, 2210, 2, RS, III
255.2, 2201, 2, RS, III
256.7, 2217, 2, RS, III
258.9, 2215, 2, RS, III
261.3, 746, 0, LTS, III
261.9, 2127, 2, RS, III
262, 2272, 2, LTS, III
262.2, 550, 0, RS, III
264.4, 2266, 2, LTS, III
265, 3029, 3, LTS, III
265.2, 760, 0, LTS, III
265.6, 603, 0, RS, III
266, 2275, 2, LTS, III
266, 2282, 2, LTS, III
266.4, 3032, 3, LTS, III
267, 2152, 2, RS, III
267.3, 759, 0, LTS, III
269.8, 2211, 2, RS, III
272.4, 1519, 1, LTS, III
272.4, 2093, 2, RS, III
273.2, 2267, 2, LTS, III
275.8, 3794, 4, LTS, III
281.9, 3041, 3, LTS, III
283.8, 744, 0, LTS, III
291, 2178, 2, RS, III
320.5, 3027, 3, LTS, III
335.2, 2280, 2, LTS, III
335.3, 748, 0, LTS, III
344, 1518, 1, LTS, III
345.4, 2266, 2, LTS, III
369.3, 745, 0, LTS, III
380.1, 3803, 4, LTS, III
382.5, 3788, 4, LTS, III
385.3, 746, 0, LTS, III
427.6, 2267, 2, LTS, III
438.6, 760, 0, LTS, III
441.8, 3032, 3, LTS, III
457, 1507, 1, LTS, III
460, 1520, 1, LTS, III
465.2, 2281, 2, LTS, III
467.9, 3804, 4, LTS, III
472.7, 1521, 1, LTS, III
484.5, 2271, 2, LTS, III
493.7, 3027, 3, LTS, III
499, 758, 0, LTS, III
508.9, 749, 0, LTS, III
520.3, 750, 0, LTS, III
525.2, 2282, 2, LTS, III
538.8, 3790, 4, LTS, III
584.1, 1322, 1, RS, III
590.5, 746, 0, LTS, III
591.6, 2225, 2, RS, III
597.1, 3043, 3, LTS, III
604.4, 3802, 4, LTS, III
610.2, 3789, 4, LTS, III
612.8, 3788, 4, LTS, III
620, 3611, 4, RS, III
626.6, 3031, 3, LTS, III
637.7, 760, 0, LTS, III
643.6, 750, 0, LTS, III
648.8, 3790, 4, LTS, III
652.6, 3793, 4, LTS, III
654.8, 3752, 4, RS, III
656.4, 3027, 3, LTS, III
663.7, 2282, 2, LTS, III
665.5, 1520, 1, LTS, III
669.2, 758, 0, LTS, III
673.3, 2281, 2, LTS, III
688.3, 3802, 4, LTS, III
692.9, 2267, 2, LTS, III
697.6, 3033, 3, LTS, III
720.3, 1518, 1, LTS, III
731.5, 3043, 3, LTS, III
757.4, 3041, 3, LTS, III
784.3, 3031, 3, LTS, III
785.7, 3029, 3, LTS, III
801.6, 2266, 2, LTS, III
814.6, 745, 0, LTS, III
825.4, 3043, 3, LTS, III
832.9, 1506, 1, LTS, III
866.4, 2282, 2, LTS, III
872.4, 3804, 4, LTS, III
928.1, 3788, 4, LTS, III
928.9, 2188, 2, RS, III
948.5, 744, 0, LTS, III
955.3, 3790, 4, LTS, III
959.7, 2280, 2, LTS, III
961.3, 1506, 1, LTS, III
970.6, 3028, 3, LTS, III
