157.5, 3317, 4, RS, V
157.5, 3424, 4, FS, V
157.6, 1057, 1, RS, V
157.6, 1883, 2, FS, V
157.6, 2653, 3, FS, V
157.6, 2667, 3, FS, V
157.6, 3463, 4, IB, V
157.7, 1893, 2, FS, V
157.7, 2629, 3, RS, V
157.7, 2633, 3, RS, V
157.7, 3393, 4, RS, V
157.8, 1900, 2, FS, V
157.8, 1932, 2, IB, V
157.8, 1944, 2, IB, V
157.8, 2628, 3, RS, V
157.8, 2683, 3, IB, V
157.9, 1881, 2, FS, V
157.9, 2643, 3, FS, V
157.9, 2646, 3, FS, V
158, 2569, 3, RS, V
158.1, 1846, 2, RS, V
158.1, 1889, 2, FS, V
158.1, 2655, 3, FS, V
158.2, 1175, 1, IB, V
158.2, 1838, 2, RS, V
158.2, 2580, 3, RS, V
158.2, 2644, 3, FS, V
158.3, 1902, 2, FS, V
158.3, 1922, 2, IB, V
158.3, 2571, 3, RS, V
158.3, 2703, 3, IB, V
158.4, 1047, 1, RS, V
158.4, 1892, 2, FS, V
158.4, 1897, 2, FS, V
158.4, 1923, 2, IB, V
158.4, 1949, 2, IB, V
158.4, 2654, 3, FS, V
158.5, 1072, 1, RS, V
158.5, 1899, 2, FS, V
158.5, 2664, 3, FS, V
158.6, 1066, 1, RS, V
158.6, 2586, 3, RS, V
158.6, 3368, 4, RS, V
158.7, 1070, 1, RS, V
158.7, 1928, 2, IB, V
158.7, 2659, 3, FS, V
158.7, 2665, 3, FS, V
158.7, 2710, 3, IB, V
158.8, 2575, 3, RS, V
158.8, 2666, 3, FS, V
158.8, 3347, 4, RS, V
158.9, 1877, 2, FS, V
158.9, 1886, 2, FS, V
158.9, 2614, 3, RS, V
158.9, 3364, 4, RS, V
158.9, 3462, 4, IB, V
158.9, 3468, 4, IB, V
159, 285, 0, RS, V
159, 1124, 1, FS, V
159, 1873, 2, RS, V
159, 1882, 2, FS, V
159, 1930, 2, IB, V
159, 2582, 3, RS, V
159, 2615, 3, RS, V
159, 3470, 4, IB, V
159.1, 1890, 2, FS, V
159.1, 2570, 3, RS, V
159.1, 2645, 3, FS, V
159.1, 2648, 3, FS, V
159.1, 2652, 3, FS, V
159.1, 2661, 3, FS, V
159.2, 2594, 3, RS, V
159.3, 1035, 1, RS, V
159.3, 1082, 1, RS, V
159.3, 1136, 1, FS, V
159.3, 1798, 2, RS, V
159.3, 2647, 3, FS, V
159.3, 2714, 3, IB, V
159.4, 1075, 1, RS, V
159.4, 1870, 2, RS, V
159.4, 2602, 3, RS, V
159.4, 2668, 3, FS, V
159.5, 1896, 2, FS, V
159.5, 2630, 3, RS, V
159.6, 3413, 4, FS, V
159.6, 3415, 4, FS, V
159.7, 1065, 1, RS, V
159.7, 1906, 2, FS, V
159.7, 2711, 3, IB, V
159.7, 3396, 4, RS, V
159.8, 1049, 1, RS, V
159.8, 1887, 2, FS, V
159.8, 1895, 2, FS, V
159.8, 1927, 2, IB, V
159.8, 2583, 3, RS, V
159.8, 2613, 3, RS, V
159.9, 1060, 1, RS, V
159.9, 1087, 1, RS, V
159.9, 1888, 2, FS, V
159.9, 1904, 2, FS, V
159.9, 2599, 3, RS, V
159.9, 2697, 3, IB, V
159.9, 3444, 4, IB, V
160, 1953, 2, IB, V
160, 2642, 3, FS, V
160, 3451, 4, IB, V
160.1, 1037, 1, RS, V
160.1, 1128, 1, FS, V
160.1, 1132, 1, FS, V
160.1, 1880, 2, FS, V
160.1, 1903, 2, FS, V
160.1, 2656, 3, FS, V
160.1, 3338, 4, RS, V
160.1, 3343, 4, RS, V
160.1, 3378, 4, RS, V
160.2, 1907, 2, FS, V
160.2, 1933, 2, IB, V
160.3, 1096, 1, RS, V
160.3, 1794, 2, RS, V
160.3, 1894, 2, FS, V
160.4, 1089, 1, RS, V
160.4, 1102, 1, RS, V
160.4, 1823, 2, RS, V
160.5, 1038, 1, RS, V
160.5, 1100, 1, RS, V
160.5, 1878, 2, FS, V
160.5, 1939, 2, IB, V
160.5, 1945, 2, IB, V
160.5, 2577, 3, RS, V
160.5, 3375, 4, RS, V
160.6, 2662, 3, FS, V
160.7, 297, 0, RS, V
160.7, 384, 0, FS, V
160.7, 1044, 1, RS, V
160.7, 1841, 2, RS, V
160.7, 3363, 4, RS, V
160.8, 415, 0, IB, V
