109.7, 1327, 1, RS, III
109.7, 1339, 1, RS, III
109.7, 1371, 1, RS, III
109.7, 1379, 1, RS, III
109.7, 1382, 1, RS, III
109.7, 1392, 1, RS, III
109.7, 1415, 1, RS, III
109.7, 1419, 1, RS, III
109.7, 1456, 1, RS, III
109.7, 1459, 1, RS, III
109.7, 1466, 1, RS, III
109.7, 1504, 1, FS, III
109.8, 1323, 1, RS, III
109.8, 1361, 1, RS, III
109.8, 1374, 1, RS, III
109.8, 1388, 1, RS, III
109.8, 1410, 1, RS, III
109.8, 1429, 1, RS, III
109.8, 1438, 1, RS, III
109.8, 1441, 1, RS, III
109.8, 1446, 1, RS, III
109.8, 1464, 1, RS, III
109.8, 1498, 1, FS, III
109.8, 1991, 2, RS, IV
109.9, 1310, 1, RS, III
109.9, 1316, 1, RS, III
109.9, 1319, 1, RS, III
109.9, 1332, 1, RS, III
109.9, 1338, 1, RS, III
109.9, 1356, 1, RS, III
109.9, 1380, 1, RS, III
109.9, 1389, 1, RS, III
109.9, 1402, 1, RS, III
109.9, 1423, 1, RS, III
109.9, 1468, 1, RS, III
109.9, 1503, 1, FS, III
110, 1292, 1, FS, IV
110, 1318, 1, RS, III
110, 1325, 1, RS, III
110, 1331, 1, RS, III
110, 1348, 1, RS, III
110, 1405, 1, RS, III
110, 1428, 1, RS, III
110, 1453, 1, RS, III
110.1, 1275, 1, FS, IV
110.1, 1385, 1, RS, III
110.1, 1397, 1, RS, III
110.1, 1431, 1, RS, III
110.1, 1479, 1, FS, III
110.1, 1482, 1, FS, III
110.1, 1485, 1, FS, III
110.2, 1013, 1, LTS, VI
110.2, 1313, 1, RS, III
110.2, 1336, 1, RS, III
110.2, 1346, 1, RS, III
110.2, 1370, 1, RS, III
110.2, 1381, 1, RS, III
110.2, 1406, 1, RS, III
110.2, 1426, 1, RS, III
110.2, 1465, 1, RS, III
110.2, 1480, 1, FS, III
110.3, 1311, 1, RS, III
110.3, 1322, 1, RS, III
110.3, 1333, 1, RS, III
110.3, 1343, 1, RS, III
110.3, 1354, 1, RS, III
110.3, 1375, 1, RS, III
110.3, 1384, 1, RS, III
110.3, 1391, 1, RS, III
110.3, 1413, 1, RS, III
110.3, 1440, 1, RS, III
110.3, 1455, 1, RS, III
110.4, 1344, 1, RS, III
110.4, 1347, 1, RS, III
110.4, 1399, 1, RS, III
110.4, 1411, 1, RS, III
110.4, 1414, 1, RS, III
110.4, 1450, 1, RS, III
110.4, 1452, 1, RS, III
110.5, 1320, 1, RS, III
110.5, 1330, 1, RS, III
110.5, 1363, 1, RS, III
110.5, 1394, 1, RS, III
110.5, 1408, 1, RS, III
110.5, 1439, 1, RS, III
110.5, 1461, 1, RS, III
110.5, 1475, 1, FS, III
110.5, 1481, 1, FS, III
110.5, 1501, 1, FS, III
110.6, 1232, 1, RS, IV
110.6, 1329, 1, RS, III
110.6, 1398, 1, RS, III
110.6, 1404, 1, RS, III
110.6, 1443, 1, RS, III
110.6, 1448, 1, RS, III
110.6, 1492, 1, FS, III
110.6, 1496, 1, FS, III
110.7, 1278, 1, FS, IV
110.7, 1295, 1, FS, IV
110.7, 1324, 1, RS, III
110.7, 1451, 1, RS, III
110.8, 1334, 1, RS, III
110.8, 1407, 1, RS, III
110.8, 1432, 1, RS, III
110.9, 1294, 1, FS, IV
110.9, 1328, 1, RS, III
110.9, 1355, 1, RS, III
110.9, 1372, 1, RS, III
110.9, 1403, 1, RS, III
110.9, 1418, 1, RS, III
110.9, 1422, 1, RS, III
110.9, 1487, 1, FS, III
110.9, 1495, 1, FS, III
110.9, 1967, 2, RS, IV
111, 1315, 1, RS, III
111, 1353, 1, RS, III
111, 1425, 1, RS, III
111, 1436, 1, RS, III
111.1, 513, 0, FS, IV
111.1, 1274, 1, FS, IV
111.1, 1308, 1, RS, III
111.1, 1321, 1, RS, III
111.1, 1335, 1, RS, III
111.1, 1376, 1, RS, III
111.1, 1393, 1, RS, III
111.1, 1477, 1, FS, III
111.1, 2038, 2, FS, IV
111.2, 514, 0, FS, IV
111.2, 522, 0, FS, IV
111.2, 1277, 1, FS, IV
111.2, 1280, 1, FS, IV
111.2, 1365, 1, RS, III
111.2, 1442, 1, RS, III
111.2, 2046, 2, FS, IV
111.3, 515, 0, FS, IV
111.3, 517, 0, FS, IV
111.3, 520, 0, FS, IV
111.3, 532, 0, FS, IV
111.3, 534, 0, FS, IV
111.3, 535, 0, FS, IV
111.3, 1287, 1, FS, IV
111.3, 1358, 1, RS, III
111.3, 1493, 1, FS, III
111.4, 518, 0, FS, IV
111.4, 527, 0, FS, IV
111.4, 530, 0, FS, IV
111.4, 1286, 1, FS, IV
111.4, 1288, 1, FS, IV
111.4, 1293, 1, FS, IV
111.4, 1317, 1, RS, III
111.4, 1341, 1, RS, III
111.4, 1351, 1, RS, III
111.4, 2815, 3, FS, IV
111.5, 529, 0, FS, IV
111.5, 531, 0, FS, IV
111.5, 1279, 1, FS, IV
111.5, 1281, 1, FS, IV
111.5, 1490, 1, FS, III
111.5, 2035, 2, FS, IV
111.5, 2036, 2, FS, IV
111.5, 2043, 2, FS, IV
111.5, 2795, 3, FS, IV
111.6, 512, 0, FS, IV
111.6, 516, 0, FS, IV
111.6, 521, 0, FS, IV
111.6, 528, 0, FS, IV
111.6, 1350, 1, RS, III
111.6, 1364, 1, RS, III
111.6, 1417, 1, RS, III
111.6, 1433, 1, RS, III
111.7, 523, 0, FS, IV
111.7, 524, 0, FS, IV
111.7, 1290, 1, FS, IV
111.7, 1291, 1, FS, IV
111.7, 1342, 1, RS, III
111.7, 1400, 1, RS, III
111.7, 1470, 1, RS, III
