109.7, 1299, 1, LTS, IV
109.7, 1312, 1, RS, III
109.7, 1339, 1, RS, III
109.7, 1344, 1, RS, III
109.7, 1351, 1, RS, III
109.7, 1413, 1, RS, III
109.7, 1415, 1, RS, III
109.7, 1449, 1, RS, III
109.7, 1455, 1, RS, III
109.7, 1461, 1, RS, III
109.7, 1483, 1, FS, III
109.7, 1496, 1, FS, III
109.7, 1498, 1, FS, III
109.8, 1292, 1, FS, IV
109.8, 1318, 1, RS, III
109.8, 1330, 1, RS, III
109.8, 1335, 1, RS, III
109.8, 1360, 1, RS, III
109.8, 1361, 1, RS, III
109.8, 1372, 1, RS, III
109.8, 1428, 1, RS, III
109.9, 1302, 1, LTS, IV
109.9, 1320, 1, RS, III
109.9, 1322, 1, RS, III
109.9, 1331, 1, RS, III
109.9, 1350, 1, RS, III
109.9, 1364, 1, RS, III
109.9, 1384, 1, RS, III
109.9, 1390, 1, RS, III
109.9, 1393, 1, RS, III
109.9, 1405, 1, RS, III
109.9, 1436, 1, RS, III
109.9, 1439, 1, RS, III
109.9, 1454, 1, RS, III
109.9, 1473, 1, FS, III
109.9, 1504, 1, FS, III
109.9, 1506, 1, FS, III
109.9, 1969, 2, RS, IV
110, 1297, 1, LTS, IV
110, 1315, 1, RS, III
110, 1327, 1, RS, III
110, 1355, 1, RS, III
110, 1400, 1, RS, III
110, 1418, 1, RS, III
110, 1431, 1, RS, III
110, 1432, 1, RS, III
110, 1472, 1, FS, III
110, 1478, 1, FS, III
110, 1480, 1, FS, III
110, 1481, 1, FS, III
110, 1495, 1, FS, III
110, 1497, 1, FS, III
110, 2027, 2, RS, IV
110.1, 1336, 1, RS, III
110.1, 1337, 1, RS, III
110.1, 1341, 1, RS, III
110.1, 1370, 1, RS, III
110.1, 1381, 1, RS, III
110.1, 1417, 1, RS, III
110.1, 1435, 1, RS, III
110.1, 1487, 1, FS, III
110.2, 1287, 1, FS, IV
110.2, 1307, 1, RS, III
110.2, 1414, 1, RS, III
110.2, 1444, 1, RS, III
110.2, 1456, 1, RS, III
110.2, 1492, 1, FS, III
110.3, 1300, 1, LTS, IV
110.3, 1324, 1, RS, III
110.3, 1325, 1, RS, III
110.3, 1353, 1, RS, III
110.3, 1367, 1, RS, III
110.3, 1369, 1, RS, III
110.3, 1429, 1, RS, III
110.3, 1445, 1, RS, III
110.3, 1470, 1, FS, III
110.3, 1499, 1, FS, III
110.4, 1332, 1, RS, III
110.4, 1340, 1, RS, III
