60.4, 1022, 1, LTS, VI
60.5, 2054, 2, LTS, IV
60.5, 2811, 3, LTS, IV
60.8, 260, 0, LTS, VI
60.9, 758, 0, LTS, III
61.2, 3037, 3, LTS, III
61.4, 755, 0, LTS, III
61.8, 2812, 3, LTS, IV
62, 536, 0, LTS, IV
62.6, 397, 0, LTS, V
63, 1781, 2, LTS, VI
63.1, 532, 0, LTS, IV
63.1, 1917, 2, LTS, V
63.3, 258, 0, LTS, VI
63.3, 1927, 2, LTS, V
63.5, 543, 0, LTS, IV
63.6, 1030, 1, LTS, VI
63.8, 1184, 1, IB, V
63.8, 2818, 3, LTS, IV
64.4, 3580, 4, LTS, IV
64.9, 2808, 3, LTS, IV
64.9, 3035, 3, LTS, III
65, 530, 0, LTS, IV
65.3, 1517, 1, LTS, III
65.4, 396, 0, LTS, V
66.4, 405, 0, LTS, V
66.5, 2816, 3, LTS, IV
66.9, 1918, 2, LTS, V
67.4, 409, 0, LTS, V
67.8, 759, 0, LTS, III
67.8, 2055, 2, LTS, IV
68.1, 1161, 1, LTS, V
68.7, 2280, 2, LTS, III
69.3, 3798, 4, LTS, III
69.4, 2544, 3, LTS, VI
69.6, 2554, 3, LTS, VI
69.6, 3800, 4, LTS, III
69.8, 1018, 1, LTS, VI
70.2, 2060, 2, LTS, IV
70.4, 1163, 1, LTS, V
70.6, 1295, 1, LTS, IV
71.1, 537, 0, LTS, IV
71.1, 1020, 1, LTS, VI
71.6, 3583, 4, LTS, IV
71.8, 1793, 2, LTS, VI
71.8, 3311, 4, LTS, VI
72.5, 3306, 4, LTS, VI
72.6, 267, 0, LTS, VI
72.9, 1289, 1, LTS, IV
72.9, 3308, 4, LTS, VI
72.9, 3439, 4, LTS, V
73.4, 406, 0, LTS, V
73.4, 1509, 1, LTS, III
73.5, 271, 0, LTS, VI
73.8, 3443, 4, LTS, V
73.9, 2270, 2, LTS, III
74.5, 525, 0, LTS, IV
74.5, 1156, 1, LTS, V
75.4, 3302, 4, LTS, VI
75.6, 544, 0, LTS, IV
75.7, 408, 0, LTS, V
75.8, 398, 0, LTS, V
75.8, 760, 0, LTS, III
76.1, 2048, 2, LTS, IV
76.2, 3585, 4, LTS, IV
76.4, 257, 0, LTS, VI
76.6, 2551, 3, LTS, VI
76.7, 1303, 1, LTS, IV
76.9, 1167, 1, LTS, V
77.1, 270, 0, LTS, VI
77.8, 256, 0, LTS, VI
78.3, 2678, 3, LTS, V
78.4, 265, 0, LTS, VI
78.4, 3449, 4, LTS, V
78.5, 1031, 1, LTS, VI
79, 2272, 2, LTS, III
79.1, 524, 0, LTS, IV
79.3, 2683, 3, LTS, V
79.6, 1301, 1, LTS, IV
81, 1079, 1, RS, V
81, 2540, 3, LTS, VI
81.2, 2275, 2, LTS, III
81.2, 2677, 3, LTS, V
81.3, 1915, 2, LTS, V
81.9, 3569, 4, LTS, IV
82.2, 3581, 4, LTS, IV
82.7, 1028, 1, LTS, VI
83.2, 395, 0, LTS, V
83.2, 3313, 4, LTS, VI
83.4, 754, 0, LTS, III
83.7, 3573, 4, LTS, IV
83.8, 2543, 3, LTS, VI
84.4, 399, 0, LTS, V
84.6, 2815, 3, LTS, IV
84.8, 1783, 2, LTS, VI
