109.8, 1364, 1, RS, III
109.8, 1384, 1, RS, III
109.8, 1396, 1, RS, III
109.8, 1401, 1, RS, III
109.8, 1406, 1, RS, III
109.8, 1414, 1, RS, III
109.8, 1417, 1, RS, III
109.8, 1471, 1, RS, III
109.8, 1488, 1, FS, III
109.9, 1305, 1, LTS, IV
109.9, 1316, 1, RS, III
109.9, 1330, 1, RS, III
109.9, 1333, 1, RS, III
109.9, 1335, 1, RS, III
109.9, 1341, 1, RS, III
109.9, 1353, 1, RS, III
109.9, 1361, 1, RS, III
109.9, 1374, 1, RS, III
109.9, 1378, 1, RS, III
109.9, 1386, 1, RS, III
109.9, 1389, 1, RS, III
109.9, 1392, 1, RS, III
109.9, 1393, 1, RS, III
109.9, 1419, 1, RS, III
109.9, 1423, 1, RS, III
109.9, 1425, 1, RS, III
109.9, 1432, 1, RS, III
109.9, 1443, 1, RS, III
109.9, 1465, 1, RS, III
109.9, 1466, 1, RS, III
109.9, 1477, 1, RS, III
110, 1291, 1, FS, IV
110, 1294, 1, FS, IV
110, 1318, 1, RS, III
110, 1321, 1, RS, III
110, 1349, 1, RS, III
110, 1354, 1, RS, III
110, 1358, 1, RS, III
110, 1436, 1, RS, III
110, 1448, 1, RS, III
110, 1463, 1, RS, III
110, 1482, 1, FS, III
110.1, 1334, 1, RS, III
110.1, 1343, 1, RS, III
110.1, 1362, 1, RS, III
110.1, 1373, 1, RS, III
110.1, 1376, 1, RS, III
110.1, 1379, 1, RS, III
110.1, 1409, 1, RS, III
110.1, 1450, 1, RS, III
110.1, 1502, 1, FS, III
110.2, 1342, 1, RS, III
110.2, 1350, 1, RS, III
110.2, 1351, 1, RS, III
110.2, 1416, 1, RS, III
110.2, 1426, 1, RS, III
110.2, 1447, 1, RS, III
110.2, 1454, 1, RS, III
110.3, 1304, 1, LTS, IV
110.3, 1310, 1, RS, III
110.3, 1312, 1, RS, III
110.3, 1370, 1, RS, III
110.3, 1415, 1, RS, III
110.3, 1422, 1, RS, III
110.3, 1424, 1, RS, III
110.3, 1434, 1, RS, III
110.4, 1326, 1, RS, III
110.4, 1411, 1, RS, III
110.4, 1429, 1, RS, III
110.4, 1438, 1, RS, III
110.4, 1456, 1, RS, III
110.4, 1490, 1, FS, III
110.5, 1336, 1, RS, III
110.5, 1359, 1, RS, III
110.5, 1371, 1, RS, III
110.5, 1403, 1, RS, III
110.6, 1309, 1, RS, III
110.6, 1356, 1, RS, III
110.6, 1377, 1, RS, III
110.6, 1441, 1, RS, III
110.6, 1455, 1, RS, III
110.6, 1461, 1, RS, III
110.6, 1475, 1, RS, III
110.7, 433, 0, RS, IV
110.7, 1307, 1, RS, III
110.7, 1327, 1, RS, III
110.7, 1400, 1, RS, III
110.7, 1449, 1, RS, III
110.7, 1474, 1, RS, III
110.7, 1496, 1, FS, III
110.7, 1500, 1, FS, III
110.8, 1292, 1, FS, IV
110.8, 1345, 1, RS, III
110.8, 1363, 1, RS, III
110.8, 1368, 1, RS, III
110.9, 1288, 1, FS, IV
110.9, 1324, 1, RS, III
110.9, 1369, 1, RS, III
110.9, 1398, 1, RS, III
110.9, 1410, 1, RS, III
110.9, 1492, 1, FS, III
110.9, 1504, 1, FS, III
111, 1198, 1, RS, IV
111, 1452, 1, RS, III
111, 1457, 1, RS, III
111.1, 534, 0, FS, IV
111.1, 1302, 1, LTS, IV
111.1, 1360, 1, RS, III
111.1, 1380, 1, RS, III
111.1, 1397, 1, RS, III
