3.4,0,0,-0.419802,-0.538996,0,-13.826766,0,-5.605316,0,-18.767341
3.5,-17.773511,0,0,0,-0.60483,0,-3.814111,-4.221704,0,-14.983224
3.6,0,-9.625061,0,-1.020548,0,-6.448832,-10.454313,-3.918642,-0.072208,0
3.7,-4.57641,0,0,-0.239032,0,-9.381059,0,0,0,-13.337666
3.8,-1.63371,0,0,-5.565645,0,0,0,-4.558338,-4.160123,0
3.9,-0.89076,0,-8.383145,0,0,0,-12.055285,-1.548619,-10.742814,0
4,-10.099804,-0.1829,0,-11.349095,-11.933,0,-10.964762,-4.150741,0,0
4.1,-9.752223,-0.571771,-20.53975,0,-2.232612,-8.171229,0,0,-8.744626,-7.710156
4.2,0,0,0,0,0,0,0,0,0,-15.839497
4.3,0,0,0,0,0,0,-9.980006,0,-8.853366,-7.792654
4.4,-3.401853,-0.604169,0,-8.209106,-8.037291,0,0,-10.886997,-8.970692,0
4.5,-18.26549,0,0,-2.874168,0,-5.568734,-9.534819,-0.61985,0,0
4.6,-3.819072,-12.259811,0,0,-9.97869,-5.241194,-8.532948,-3.37364,0,0
4.7,-2.255479,0,-9.117117,0,-7.326185,-5.508748,0,0,0,-9.607702
4.8,-9.572737,-7.336941,0,-4.912545,-3.016271,-18.244401,-13.317083,0,0,0
4.9,0,-0.467836,-4.914173,0,0,0,0,0,-2.568631,0
5,0,0,0,-11.837609,0,-5.898818,0,0,-9.143776,0
5.1,0,0,0,-11.760886,-13.17762,-13.90179,-4.63802,-4.413756,0,0
5.2,-6.562247,-1.824139,0,0,0,-8.717148,-1.55029,0,0,0
5.3,0,-13.957324,0,-11.328449,0,-0.723793,-1.47499,0,0,0
5.4,0,0,-5.765845,-7.846744,-1.990058,-0.764642,0,0,-6.838907,0
5.5,-14.172568,-3.411338,0,-2.999482,0,-8.819579,-4.74666,0,-3.588127,-0.802106
5.6,-1.036133,0,-1.01807,-1.440734,-12.732991,-13.36766,0,-4.544448,-5.852041,-13.785776
5.7,0,-1.109802,-6.306675,-12.795654,-17.390145,-6.429525,0,0,0,-6.960651
5.8,0,0,0,0,0,-8.051139,0,-5.549114,0,-10.056908
5.9,-14.574956,-0.894038,0,0,0,-6.262577,-3.767034,0,-0.631439,-0.799984
6,-9.125842,0,-1.708301,0,0,-3.413834,0,0,0,-9.428138
6.1,0,0,-10.526571,0,-1.987589,-12.721195,-2.175881,0,-1.812493,0
