110.2, 1398, 1, RS, III
110.2, 1401, 1, RS, III
110.2, 1409, 1, RS, III
110.2, 1423, 1, RS, III
110.2, 1442, 1, RS, III
110.2, 1474, 1, RS, III
110.3, 472, 0, RS, IV
110.3, 1305, 1, LTS, IV
110.3, 1327, 1, RS, III
110.3, 1330, 1, RS, III
110.3, 1415, 1, RS, III
110.3, 1463, 1, RS, III
110.3, 1496, 1, FS, III
110.4, 487, 0, RS, IV
110.4, 1435, 1, RS, III
110.4, 1452, 1, RS, III
110.5, 1148, 1, FS, V
110.5, 1287, 1, FS, IV
110.5, 1315, 1, RS, III
110.5, 1351, 1, RS, III
110.5, 1376, 1, RS, III
110.5, 1381, 1, RS, III
110.5, 1400, 1, RS, III
110.5, 1417, 1, RS, III
110.5, 1443, 1, RS, III
110.5, 1464, 1, RS, III
110.5, 1465, 1, RS, III
110.5, 1492, 1, FS, III
110.5, 1497, 1, FS, III
110.5, 1498, 1, FS, III
110.6, 1313, 1, RS, III
110.6, 1345, 1, RS, III
110.6, 1380, 1, RS, III
110.6, 1475, 1, RS, III
110.6, 1485, 1, FS, III
110.7, 1295, 1, FS, IV
110.7, 1353, 1, RS, III
110.7, 1359, 1, RS, III
110.7, 1429, 1, RS, III
110.7, 1454, 1, RS, III
110.7, 1461, 1, RS, III
110.7, 1466, 1, RS, III
110.7, 1503, 1, FS, III
110.8, 1255, 1, RS, IV
110.8, 1275, 1, RS, IV
110.8, 1326, 1, RS, III
110.8, 1340, 1, RS, III
110.8, 1365, 1, RS, III
110.8, 1369, 1, RS, III
110.8, 1444, 1, RS, III
110.9, 397, 0, LTS, V
110.9, 1368, 1, RS, III
110.9, 1383, 1, RS, III
110.9, 1410, 1, RS, III
110.9, 1469, 1, RS, III
111, 528, 0, FS, IV
111, 530, 0, FS, IV
111, 1324, 1, RS, III
111, 1390, 1, RS, III
111, 1441, 1, RS, III
111, 1490, 1, FS, III
111, 2048, 2, FS, IV
111.1, 512, 0, RS, IV
111.1, 524, 0, FS, IV
111.1, 534, 0, FS, IV
111.1, 1306, 1, LTS, IV
111.1, 1334, 1, RS, III
111.1, 1339, 1, RS, III
111.1, 1479, 1, FS, III
111.1, 2047, 2, FS, IV
111.2, 1290, 1, FS, IV
111.2, 1293, 1, FS, IV
111.2, 1307, 1, RS, III
111.2, 1433, 1, RS, III
111.2, 1473, 1, RS, III
111.3, 525, 0, FS, IV
111.3, 533, 0, FS, IV
111.3, 535, 0, FS, IV
111.3, 1286, 1, FS, IV
111.3, 1325, 1, RS, III
111.3, 1363, 1, RS, III
111.3, 1427, 1, RS, III
111.3, 1453, 1, RS, III
111.3, 1493, 1, FS, III
111.3, 1501, 1, FS, III
111.4, 1294, 1, FS, IV
111.4, 1320, 1, RS, III
111.4, 1458, 1, RS, III
111.4, 2044, 2, FS, IV
111.4, 2046, 2, FS, IV
111.4, 2049, 2, FS, IV
111.5, 527, 0, FS, IV
111.5, 531, 0, FS, IV
111.5, 1322, 1, RS, III
111.5, 2050, 2, FS, IV
111.6, 526, 0, FS, IV
111.6, 529, 0, FS, IV
111.6, 532, 0, FS, IV
111.6, 1227, 1, RS, IV
111.6, 1296, 1, FS, IV
111.6, 1347, 1, RS, III
111.7, 753, 0, LTS, III
111.7, 1499, 1, FS, III
111.7, 2045, 2, FS, IV
111.7, 2812, 3, FS, IV
111.7, 2816, 3, FS, IV
111.8, 522, 0, FS, IV
111.8, 523, 0, FS, IV
111.8, 1285, 1, FS, IV
111.8, 1288, 1, FS, IV
111.8, 1491, 1, FS, III
111.8, 2053, 2, FS, IV
111.8, 2055, 2, FS, IV
111.8, 2056, 2, FS, IV
111.8, 2807, 3, FS, IV
111.9, 2052, 2, FS, IV
111.9, 2815, 3, FS, IV
112, 260, 0, LTS, VI
112, 1467, 1, RS, III
