109.1, 1367, 1, RS, III
109.1, 1409, 1, RS, III
109.1, 1419, 1, RS, III
109.1, 1421, 1, RS, III
109.1, 1452, 1, RS, III
109.1, 1476, 1, FS, III
109.1, 2045, 2, FS, IV
109.1, 2052, 2, FS, IV
109.2, 1232, 1, RS, IV
109.2, 1294, 1, LTS, IV
109.2, 1301, 1, LTS, IV
109.2, 1397, 1, RS, III
109.2, 1420, 1, RS, III
109.2, 1456, 1, RS, III
109.2, 1492, 1, FS, III
109.3, 1285, 1, FS, IV
109.3, 1348, 1, RS, III
109.3, 1352, 1, RS, III
109.3, 1358, 1, RS, III
109.3, 1362, 1, RS, III
109.3, 1365, 1, RS, III
109.3, 1372, 1, RS, III
109.3, 1412, 1, RS, III
109.3, 1417, 1, RS, III
109.3, 1424, 1, RS, III
109.3, 1433, 1, RS, III
109.3, 1444, 1, RS, III
109.3, 1455, 1, RS, III
109.3, 1471, 1, RS, III
109.3, 1475, 1, RS, III
109.3, 1484, 1, FS, III
109.3, 1487, 1, FS, III
109.3, 1489, 1, FS, III
109.3, 1503, 1, FS, III
109.4, 472, 0, RS, IV
109.4, 1284, 1, FS, IV
109.4, 1303, 1, LTS, IV
109.4, 1310, 1, RS, III
109.4, 1314, 1, RS, III
109.4, 1339, 1, RS, III
109.4, 1418, 1, RS, III
109.4, 1439, 1, RS, III
109.4, 1460, 1, RS, III
109.4, 1468, 1, RS, III
109.4, 1477, 1, FS, III
109.4, 1479, 1, FS, III
109.4, 1483, 1, FS, III
109.4, 1485, 1, FS, III
109.5, 1292, 1, FS, IV
109.5, 1295, 1, LTS, IV
109.5, 1299, 1, LTS, IV
109.5, 1323, 1, RS, III
109.5, 1363, 1, RS, III
109.5, 1373, 1, RS, III
109.5, 1375, 1, RS, III
109.5, 1391, 1, RS, III
109.5, 1399, 1, RS, III
109.5, 1408, 1, RS, III
109.5, 1425, 1, RS, III
109.5, 1432, 1, RS, III
109.5, 1480, 1, FS, III
109.5, 1482, 1, FS, III
109.6, 1300, 1, LTS, IV
