14.5,-4.27192,-26.38358,-3.09723,-33.34114,-7.82892
14.6,-12.3369,-3.80857,-5.53535,-3.39859,-14.85584
14.7,-4.34627,-3.79478,-3.09684,-1.93515,-7.01566
14.8,-8.4677,-27.53705,-3.18479,-11.78706,-7.12959
14.9,-34.96106,-3.83366,-6.65674,-2.11556,-14.52767
15,-4.54331,-3.87952,-3.33043,-2.22223,-13.20161
15.1,-4.59168,-3.91865,-3.45402,-5.98049,-18.8937
15.2,-21.53422,-38.86157,-3.5634,-5.38936,-17.62137
15.3,-4.72331,-3.97927,-3.65993,-2.52915,-7.50222
15.4,-5.72102,-4.0922,-20.25336,-2.64334,-12.62718
15.5,-4.87062,-4.28294,-3.8193,-2.74441,-7.58105
15.6,-4.92952,-4.45218,-15.91736,-2.92282,-7.60912
15.7,-22.10013,-4.6977,-3.94065,-22.41361,-20.19151
15.8,-20.85913,-7.47805,-10.70025,-12.14174,-7.74957
15.9,-5.05803,-20.65498,-10.36328,-9.43632,-7.80369
16,-5.08732,-5.28062,-7.37058,-6.39209,-28.11824
16.1,-12.76982,-28.74164,-4.34696,-11.06544,-20.93234
16.2,-46.02124,-5.68753,-16.38185,-15.48875,-13.72934
16.3,-5.2278,-10.52575,-4.51856,-5.06453,-8.01787
16.4,-19.99758,-6.09367,-4.66349,-15.2259,-8.10767
16.5,-5.49671,-6.36158,-4.88373,-5.85056,-8.18429
16.6,-9.71713,-21.97166,-5.07904,-20.31571,-21.06508
16.7,-22.80275,-6.98765,-8.89287,-19.18299,-8.30297
16.8,-5.78559,-7.24855,-5.56417,-27.35667,-11.15553
16.9,-5.85701,-7.4791,-5.91885,-10.19092,-8.65596
17,-10.10591,-7.68223,-20.19204,-8.8198,-8.7996
17.1,-18.85545,-22.11477,-20.87183,-27.89577,-9.4079
17.2,-6.01249,-30.53182,-7.19629,-8.41337,-16.5814
17.3,-9.44078,-10.70226,-33.87273,-14.62413,-21.51596
17.4,-21.07343,-13.74365,-7.97814,-19.26556,-9.44516
17.5,-19.47752,-9.45875,-8.39972,-25.27623,-9.55627
17.6,-10.84166,-9.88521,-8.7739,-10.75951,-9.65108
17.7,-6.31831,-10.26288,-9.32057,-12.91654,-9.73116
17.8,-6.56215,-18.0057,-9.80659,-11.98668,-17.52785
17.9,-14.491,-11.05448,-10.38994,-20.82291,-9.95227
18,-17.76403,-11.38198,-10.90824,-13.33289,-13.1338
