321.7, 342, 0, RS, V
322.7, 3448, 4, IB, V
325.3, 412, 0, IB, V
326.7, 3391, 4, RS, V
333, 1810, 2, RS, V
333.1, 288, 0, RS, V
334.6, 3434, 4, LTS, V
335.1, 422, 0, IB, V
336.3, 3475, 4, IB, V
337.6, 2670, 3, LTS, V
337.7, 3442, 4, LTS, V
339.5, 2705, 3, IB, V
339.8, 2698, 3, IB, V
341.4, 2675, 3, LTS, V
343.5, 1915, 2, LTS, V
343.8, 2712, 3, IB, V
346.5, 3454, 4, IB, V
346.9, 387, 0, LTS, V
350.5, 394, 0, LTS, V
350.9, 3380, 4, RS, V
353.7, 3383, 4, RS, V
355.1, 1151, 1, LTS, V
355.6, 330, 0, RS, V
358.1, 1798, 2, RS, V
358.8, 3446, 4, IB, V
359.6, 1870, 2, RS, V
363.9, 1865, 2, RS, V
364.5, 2626, 3, RS, V
368.4, 2608, 3, RS, V
369, 399, 0, LTS, V
369.2, 3435, 4, LTS, V
370, 3447, 4, IB, V
370.5, 3350, 4, RS, V
371.5, 3330, 4, RS, V
371.6, 3431, 4, LTS, V
373.3, 1147, 1, LTS, V
374.9, 1857, 2, RS, V
387.9, 3464, 4, IB, V
389.3, 1148, 1, LTS, V
389.3, 1908, 2, LTS, V
393, 2632, 3, RS, V
395.5, 3445, 4, IB, V
398.7, 1918, 2, LTS, V
399.5, 1156, 1, LTS, V
400.3, 1160, 1, LTS, V
401.3, 2613, 3, RS, V
402.9, 3439, 4, LTS, V
403.6, 3336, 4, RS, V
403.7, 386, 0, LTS, V
410.4, 1938, 2, IB, V
411.1, 3389, 4, RS, V
413.2, 2682, 3, LTS, V
414.2, 393, 0, LTS, V
425.4, 1919, 2, LTS, V
427.8, 2575, 3, RS, V
429.3, 1153, 1, LTS, V
433.7, 3438, 4, LTS, V
443.1, 2676, 3, LTS, V
447.9, 2680, 3, LTS, V
449.4, 1047, 1, RS, V
449.7, 387, 0, LTS, V
451.5, 399, 0, LTS, V
456.3, 1911, 2, LTS, V
456.6, 1909, 2, LTS, V
459.5, 3443, 4, LTS, V
462.2, 1147, 1, LTS, V
467.1, 2669, 3, LTS, V
467.5, 1160, 1, LTS, V
472.1, 1154, 1, LTS, V
474, 394, 0, LTS, V
483.4, 3398, 4, RS, V
487.1, 3431, 4, LTS, V
492.4, 1077, 1, RS, V
501.9, 3376, 4, RS, V
506.7, 3430, 4, LTS, V
517.9, 1908, 2, LTS, V
519.8, 393, 0, LTS, V
521.3, 425, 0, IB, V
522.3, 1109, 1, RS, V
523, 2682, 3, LTS, V
526.8, 386, 0, LTS, V
529, 1148, 1, LTS, V
530.4, 321, 0, RS, V
530.7, 1150, 1, LTS, V
540.3, 1160, 1, LTS, V
540.9, 3437, 4, LTS, V
544.8, 1846, 2, RS, V
544.8, 1925, 2, IB, V
547.3, 1192, 1, IB, V
552, 1800, 2, RS, V
557.9, 2676, 3, LTS, V
559.9, 2677, 3, LTS, V
567.3, 1191, 1, IB, V
569, 332, 0, RS, V
570.4, 1147, 1, LTS, V
571.7, 395, 0, LTS, V
576, 397, 0, LTS, V
577.9, 3430, 4, LTS, V
578.3, 1909, 2, LTS, V
579.9, 394, 0, LTS, V
582.4, 399, 0, LTS, V
583, 1919, 2, LTS, V
591.1, 2682, 3, LTS, V
591.3, 2686, 3, IB, V
601.2, 2618, 3, RS, V
602.5, 2669, 3, LTS, V
602.8, 1155, 1, LTS, V
603.3, 1151, 1, LTS, V
604.4, 1915, 2, LTS, V
606.7, 3446, 4, IB, V
611.3, 1853, 2, RS, V
618.4, 387, 0, LTS, V
619.4, 3453, 4, IB, V
619.9, 3431, 4, LTS, V
620.3, 2575, 3, RS, V
627.6, 1911, 2, LTS, V
630.3, 3443, 4, LTS, V
630.4, 1097, 1, RS, V
637.9, 2671, 3, LTS, V
641.6, 2578, 3, RS, V
647.8, 2684, 3, IB, V
648.7, 2689, 3, IB, V
652.2, 1147, 1, LTS, V
654.9, 393, 0, LTS, V
655, 2691, 3, IB, V
658.2, 306, 0, RS, V
662.6, 1160, 1, LTS, V
663.1, 2566, 3, RS, V
664, 2579, 3, RS, V
665.4, 1148, 1, LTS, V
665.8, 398, 0, LTS, V
666.7, 3437, 4, LTS, V
671, 2589, 3, RS, V
672.5, 1154, 1, LTS, V
684, 2681, 3, LTS, V
684.9, 2586, 3, RS, V
685.5, 2676, 3, LTS, V
693.7, 1150, 1, LTS, V
694.1, 1117, 1, FS, V
695.7, 2677, 3, LTS, V
697.3, 1916, 2, LTS, V
700.2, 399, 0, LTS, V
701.7, 2712, 3, IB, V
705.1, 310, 0, RS, V
706, 3430, 4, LTS, V
707.2, 276, 0, RS, V
711.9, 393, 0, LTS, V
718.6, 3431, 4, LTS, V
728.3, 2626, 3, RS, V
729.2, 2682, 3, LTS, V
731.3, 2670, 3, LTS, V
731.9, 1909, 2, LTS, V
732, 2669, 3, LTS, V
740.8, 1155, 1, LTS, V
742.6, 1804, 2, RS, V
749.9, 3435, 4, LTS, V
765.2, 397, 0, LTS, V
769.4, 3443, 4, LTS, V
770.4, 3374, 4, RS, V
771.1, 1915, 2, LTS, V
771.8, 1914, 2, LTS, V
775.6, 1154, 1, LTS, V
779.2, 3434, 4, LTS, V
785.6, 1147, 1, LTS, V
787.9, 275, 0, RS, V
793.9, 2684, 3, IB, V
794.6, 399, 0, LTS, V
796.2, 3438, 4, LTS, V
796.5, 1160, 1, LTS, V
799.7, 1156, 1, LTS, V
801.4, 1908, 2, LTS, V
801.4, 2676, 3, LTS, V
802.3, 394, 0, LTS, V
805.9, 3445, 4, IB, V
807.7, 1911, 2, LTS, V
808.8, 1951, 2, IB, V
809.8, 3437, 4, LTS, V
820.1, 1860, 2, RS, V
820.3, 2598, 3, RS, V
823, 386, 0, LTS, V
823.4, 1794, 2, RS, V
825.6, 3431, 4, LTS, V
825.7, 1909, 2, LTS, V
827.4, 1934, 2, IB, V
829.6, 393, 0, LTS, V
830.9, 395, 0, LTS, V
832.6, 1916, 2, LTS, V
836.3, 1105, 1, RS, V
836.4, 387, 0, LTS, V
837.6, 1926, 2, IB, V
838.8, 1810, 2, RS, V
840.8, 2669, 3, LTS, V
841.6, 3430, 4, LTS, V
844, 1921, 2, LTS, V
851, 1799, 2, RS, V
852.5, 1917, 2, LTS, V
854.7, 1042, 1, RS, V
855, 3347, 4, RS, V
856.9, 3441, 4, LTS, V
859.5, 1804, 2, RS, V
860.6, 1075, 1, RS, V
871.3, 1155, 1, LTS, V
872.1, 3460, 4, IB, V
877, 390, 0, LTS, V
878.2, 1071, 1, RS, V
887, 1160, 1, LTS, V
887.7, 1111, 1, RS, V
888.1, 1863, 2, RS, V
888.4, 1147, 1, LTS, V
889.4, 289, 0, RS, V
889.4, 293, 0, RS, V
889.7, 3468, 4, IB, V
891, 1191, 1, IB, V
893.2, 3365, 4, RS, V
894.4, 1149, 1, LTS, V
897.3, 399, 0, LTS, V
897.5, 3382, 4, RS, V
900.1, 3437, 4, LTS, V
900.8, 3443, 4, LTS, V
901.6, 2674, 3, LTS, V
904.2, 1814, 2, RS, V
904.8, 3349, 4, RS, V
906, 3345, 4, RS, V
906.2, 1826, 2, RS, V
908.3, 3343, 4, RS, V
