208.7, 1227, 1, RS, IV
208.7, 1263, 1, RS, IV
208.7, 1276, 1, RS, IV
208.8, 1269, 1, RS, IV
208.8, 2044, 2, FS, IV
208.8, 2812, 3, FS, IV
208.9, 519, 0, FS, IV
208.9, 525, 0, FS, IV
208.9, 1202, 1, RS, IV
208.9, 1220, 1, RS, IV
208.9, 1230, 1, RS, IV
208.9, 1267, 1, RS, IV
208.9, 1273, 1, RS, IV
209, 1224, 1, RS, IV
209, 1266, 1, RS, IV
209, 2808, 3, FS, IV
209.1, 524, 0, FS, IV
209.2, 532, 0, FS, IV
209.3, 2039, 2, FS, IV
209.4, 2022, 2, RS, IV
209.5, 538, 0, LTS, IV
209.8, 523, 0, FS, IV
209.8, 1290, 1, FS, IV
209.9, 1286, 1, FS, IV
209.9, 1288, 1, FS, IV
209.9, 2800, 3, FS, IV
210.1, 466, 0, RS, IV
210.1, 1287, 1, FS, IV
210.3, 1291, 1, FS, IV
210.3, 1293, 1, FS, IV
210.4, 1289, 1, FS, IV
210.6, 1283, 1, FS, IV
210.7, 533, 0, FS, IV
210.7, 1278, 1, FS, IV
210.7, 1284, 1, FS, IV
210.7, 1294, 1, FS, IV
210.7, 1295, 1, FS, IV
210.8, 1277, 1, FS, IV
210.8, 1279, 1, FS, IV
210.8, 1285, 1, FS, IV
210.8, 2017, 2, RS, IV
210.8, 2053, 2, FS, IV
210.9, 1281, 1, FS, IV
211, 2055, 2, FS, IV
211.1, 2810, 3, FS, IV
211.2, 1280, 1, FS, IV
211.3, 1292, 1, FS, IV
211.4, 531, 0, FS, IV
211.4, 1216, 1, RS, IV
211.4, 1261, 1, RS, IV
211.4, 1282, 1, FS, IV
211.4, 1304, 1, LTS, IV
211.4, 2043, 2, FS, IV
211.6, 521, 0, FS, IV
211.6, 2041, 2, FS, IV
211.7, 1297, 1, LTS, IV
211.7, 1305, 1, LTS, IV
211.7, 2056, 2, FS, IV
211.9, 520, 0, FS, IV
211.9, 1301, 1, LTS, IV
212, 1302, 1, LTS, IV
212, 2050, 2, FS, IV
212.2, 479, 0, RS, IV
212.2, 481, 0, RS, IV
212.2, 516, 0, FS, IV
212.3, 532, 0, FS, IV
212.3, 3531, 4, RS, IV
212.4, 2039, 2, FS, IV
212.4, 2048, 2, FS, IV
212.4, 2052, 2, FS, IV
212.5, 517, 0, FS, IV
212.5, 519, 0, FS, IV
212.5, 524, 0, FS, IV
212.5, 529, 0, FS, IV
212.5, 1299, 1, LTS, IV
212.5, 1300, 1, LTS, IV
212.5, 2040, 2, FS, IV
212.5, 2042, 2, FS, IV
212.6, 528, 0, FS, IV
212.6, 1286, 1, FS, IV
212.6, 1288, 1, FS, IV
212.6, 1290, 1, FS, IV
212.7, 534, 0, FS, IV
212.7, 2054, 2, FS, IV
212.8, 527, 0, FS, IV
212.8, 530, 0, FS, IV
212.8, 1296, 1, LTS, IV
212.8, 2028, 2, RS, IV
212.8, 2044, 2, FS, IV
212.9, 1287, 1, FS, IV
213, 1245, 1, RS, IV
213, 2814, 3, FS, IV
213.1, 523, 0, FS, IV
213.1, 525, 0, FS, IV
213.1, 1289, 1, FS, IV
213.1, 2008, 2, RS, IV
213.1, 2051, 2, FS, IV
213.2, 1291, 1, FS, IV
213.2, 1293, 1, FS, IV
213.2, 2045, 2, FS, IV
213.2, 2047, 2, FS, IV
213.3, 461, 0, RS, IV
213.3, 1247, 1, RS, IV
213.3, 1270, 1, RS, IV
213.3, 1295, 1, FS, IV
213.4, 473, 0, RS, IV
213.4, 1283, 1, FS, IV
213.5, 1240, 1, RS, IV
213.5, 1249, 1, RS, IV
213.5, 1256, 1, RS, IV
213.6, 445, 0, RS, IV
213.6, 2038, 2, FS, IV
213.6, 2815, 3, FS, IV
213.7, 1195, 1, RS, IV
213.7, 1277, 1, FS, IV
213.7, 1278, 1, FS, IV
213.7, 1279, 1, FS, IV
213.8, 1241, 1, RS, IV
213.8, 1281, 1, FS, IV
213.8, 1284, 1, FS, IV
213.8, 1285, 1, FS, IV
213.8, 2049, 2, FS, IV
213.9, 448, 0, RS, IV
213.9, 1223, 1, RS, IV
213.9, 1235, 1, RS, IV
213.9, 1238, 1, RS, IV
213.9, 1255, 1, RS, IV
213.9, 1294, 1, FS, IV
213.9, 2808, 3, FS, IV
214, 1260, 1, RS, IV
214, 1268, 1, RS, IV
214, 1306, 1, LTS, IV
214.1, 522, 0, FS, IV
214.1, 1221, 1, RS, IV
214.1, 1226, 1, RS, IV
214.1, 1233, 1, RS, IV
214.1, 1280, 1, FS, IV
214.2, 1264, 1, RS, IV
214.2, 1274, 1, RS, IV
214.2, 2055, 2, FS, IV
214.2, 2817, 3, FS, IV
214.3, 1209, 1, RS, IV
214.3, 1225, 1, RS, IV
214.3, 1237, 1, RS, IV
214.4, 1208, 1, RS, IV
214.4, 1215, 1, RS, IV
214.4, 2053, 2, FS, IV
214.5, 1298, 1, LTS, IV
214.5, 2035, 2, RS, IV
214.5, 2046, 2, FS, IV
214.6, 1219, 1, RS, IV
214.6, 1282, 1, FS, IV
214.7, 436, 0, RS, IV
214.7, 526, 0, FS, IV
214.7, 533, 0, FS, IV
214.7, 1199, 1, RS, IV
214.8, 1232, 1, RS, IV
214.9, 531, 0, FS, IV
