267, 1796, 2, RS, V
267, 1814, 2, RS, V
267.1, 1818, 2, RS, V
267.1, 1883, 2, FS, V
267.1, 3405, 4, FS, V
267.1, 3417, 4, FS, V
267.1, 3419, 4, FS, V
267.2, 1898, 2, FS, V
267.2, 1927, 2, IB, V
267.2, 1935, 2, IB, V
267.2, 2684, 3, IB, V
267.2, 2695, 3, IB, V
267.3, 425, 0, IB, V
267.3, 2653, 3, FS, V
267.3, 3334, 4, RS, V
267.4, 1072, 1, RS, V
267.4, 1138, 1, FS, V
267.4, 1180, 1, IB, V
267.4, 1183, 1, IB, V
267.4, 1811, 2, RS, V
267.4, 2585, 3, RS, V
267.4, 2650, 3, FS, V
267.5, 371, 0, FS, V
267.5, 375, 0, FS, V
267.5, 1177, 1, IB, V
267.5, 1892, 2, FS, V
267.5, 3461, 4, IB, V
267.6, 428, 0, IB, V
267.6, 1081, 1, RS, V
267.6, 2647, 3, FS, V
267.6, 2708, 3, IB, V
267.6, 3384, 4, RS, V
267.6, 3387, 4, RS, V
267.7, 276, 0, RS, V
267.7, 1137, 1, FS, V
267.7, 1872, 2, RS, V
267.7, 1944, 2, IB, V
267.7, 3390, 4, RS, V
267.8, 296, 0, RS, V
267.8, 414, 0, IB, V
267.8, 1853, 2, RS, V
267.8, 2692, 3, IB, V
267.8, 2693, 3, IB, V
267.9, 413, 0, IB, V
267.9, 1175, 1, IB, V
267.9, 2660, 3, FS, V
267.9, 3422, 4, FS, V
268, 1124, 1, FS, V
268, 1865, 2, RS, V
268, 1949, 2, IB, V
268, 3424, 4, FS, V
268.1, 1929, 2, IB, V
268.1, 2694, 3, IB, V
268.1, 3402, 4, FS, V
268.1, 3409, 4, FS, V
268.2, 332, 0, RS, V
268.2, 1123, 1, FS, V
268.2, 1127, 1, FS, V
268.2, 1131, 1, FS, V
268.2, 1162, 1, IB, V
268.2, 2713, 3, IB, V
268.3, 329, 0, RS, V
268.3, 1833, 2, RS, V
268.3, 1882, 2, FS, V
268.3, 1925, 2, IB, V
268.3, 2608, 3, RS, V
268.4, 324, 0, RS, V
268.4, 358, 0, FS, V
268.4, 1130, 1, FS, V
268.4, 1936, 2, IB, V
268.4, 2577, 3, RS, V
268.4, 2642, 3, FS, V
268.4, 2705, 3, IB, V
268.4, 3412, 4, FS, V
268.5, 1930, 2, IB, V
268.6, 302, 0, RS, V
