121.4, 612, 0, RS, III
121.4, 660, 0, RS, III
121.4, 673, 0, RS, III
121.4, 685, 0, RS, III
121.4, 723, 0, FS, III
121.5, 403, 0, IB, V
121.5, 431, 0, IB, V
121.5, 570, 0, RS, III
121.5, 587, 0, RS, III
121.5, 639, 0, RS, III
121.5, 640, 0, RS, III
121.5, 733, 0, FS, III
121.6, 418, 0, IB, V
121.6, 536, 0, LTS, IV
121.6, 578, 0, RS, III
121.6, 636, 0, RS, III
121.6, 716, 0, FS, III
121.6, 719, 0, FS, III
121.7, 286, 0, RS, V
121.7, 296, 0, RS, V
121.7, 318, 0, RS, V
121.7, 329, 0, RS, V
121.7, 722, 0, FS, III
121.7, 728, 0, FS, III
121.8, 272, 0, RS, V
121.8, 328, 0, RS, V
121.8, 351, 0, RS, V
121.8, 559, 0, RS, III
121.8, 615, 0, RS, III
121.8, 737, 0, FS, III
121.8, 740, 0, FS, III
121.9, 333, 0, RS, V
121.9, 342, 0, RS, V
121.9, 557, 0, RS, III
121.9, 633, 0, RS, III
121.9, 643, 0, RS, III
121.9, 644, 0, RS, III
121.9, 715, 0, FS, III
121.9, 726, 0, FS, III
121.9, 2681, 3, LTS, V
122, 276, 0, RS, V
122, 297, 0, RS, V
122, 412, 0, IB, V
122, 430, 0, IB, V
122, 565, 0, RS, III
122, 600, 0, RS, III
122, 701, 0, RS, III
122, 734, 0, FS, III
122.1, 278, 0, RS, V
122.1, 304, 0, RS, V
122.1, 350, 0, RS, V
122.1, 599, 0, RS, III
122.2, 295, 0, RS, V
122.2, 343, 0, RS, V
122.2, 346, 0, RS, V
122.2, 695, 0, RS, III
122.2, 710, 0, RS, III
122.2, 720, 0, FS, III
122.2, 727, 0, FS, III
122.3, 282, 0, RS, V
122.3, 316, 0, RS, V
122.3, 317, 0, RS, V
122.3, 326, 0, RS, V
122.3, 408, 0, IB, V
122.3, 411, 0, IB, V
122.3, 422, 0, IB, V
122.3, 554, 0, RS, III
122.3, 651, 0, RS, III
122.3, 679, 0, RS, III
122.3, 707, 0, RS, III
122.3, 708, 0, RS, III
122.4, 279, 0, RS, V
122.4, 315, 0, RS, V
122.4, 324, 0, RS, V
122.4, 338, 0, RS, V
122.4, 345, 0, RS, V
122.4, 414, 0, IB, V
122.4, 592, 0, RS, III
122.4, 699, 0, RS, III
122.4, 703, 0, RS, III
122.4, 704, 0, RS, III
122.4, 732, 0, FS, III
122.5, 336, 0, RS, V
122.5, 721, 0, FS, III
122.5, 731, 0, FS, III
122.5, 736, 0, FS, III
122.6, 274, 0, RS, V
122.6, 407, 0, IB, V
122.6, 409, 0, IB, V
122.6, 427, 0, IB, V
122.6, 561, 0, RS, III
122.6, 567, 0, RS, III
122.6, 642, 0, RS, III
122.6, 648, 0, RS, III
122.6, 738, 0, FS, III
122.7, 277, 0, RS, V
122.7, 298, 0, RS, V
122.7, 305, 0, RS, V
122.7, 310, 0, RS, V
122.7, 311, 0, RS, V
122.7, 344, 0, RS, V
122.7, 348, 0, RS, V
122.7, 424, 0, IB, V
122.7, 527, 0, FS, IV
122.7, 628, 0, RS, III
122.7, 741, 0, FS, III
122.8, 402, 0, IB, V
122.8, 417, 0, IB, V
122.8, 429, 0, IB, V
122.8, 584, 0, RS, III
122.8, 601, 0, RS, III
122.8, 689, 0, RS, III
122.8, 725, 0, FS, III
122.9, 283, 0, RS, V
122.9, 294, 0, RS, V
122.9, 302, 0, RS, V
122.9, 322, 0, RS, V
122.9, 327, 0, RS, V
122.9, 337, 0, RS, V
122.9, 415, 0, IB, V
122.9, 419, 0, IB, V
122.9, 420, 0, IB, V
122.9, 588, 0, RS, III
123, 273, 0, RS, V
123, 285, 0, RS, V
123, 319, 0, RS, V
123, 320, 0, RS, V
123, 335, 0, RS, V
123, 340, 0, RS, V
123, 352, 0, RS, V
123, 404, 0, IB, V
123, 421, 0, IB, V
123, 558, 0, RS, III
123, 576, 0, RS, III
123, 598, 0, RS, III
123, 614, 0, RS, III
123, 627, 0, RS, III
123, 702, 0, RS, III
123, 718, 0, FS, III
123.1, 334, 0, RS, V
123.1, 605, 0, RS, III
123.1, 625, 0, RS, III
123.1, 641, 0, RS, III
123.1, 700, 0, RS, III
123.2, 301, 0, RS, V
123.2, 670, 0, RS, III
123.2, 711, 0, RS, III
123.2, 735, 0, FS, III
123.3, 288, 0, RS, V
123.3, 300, 0, RS, V
123.3, 307, 0, RS, V
123.3, 309, 0, RS, V
123.3, 406, 0, IB, V
123.3, 428, 0, IB, V
123.3, 551, 0, RS, III
123.3, 562, 0, RS, III
123.3, 697, 0, RS, III
123.4, 289, 0, RS, V
123.4, 293, 0, RS, V
123.4, 306, 0, RS, V
123.4, 313, 0, RS, V
123.4, 321, 0, RS, V
123.4, 353, 0, RS, V
123.4, 405, 0, IB, V
123.4, 571, 0, RS, III
123.4, 593, 0, RS, III
123.4, 613, 0, RS, III
123.4, 618, 0, RS, III
123.5, 349, 0, RS, V
123.5, 416, 0, IB, V
123.5, 553, 0, RS, III
123.5, 569, 0, RS, III
123.6, 325, 0, RS, V
123.6, 423, 0, IB, V
123.6, 555, 0, RS, III
123.6, 560, 0, RS, III
123.6, 676, 0, RS, III
123.6, 717, 0, FS, III
123.7, 291, 0, RS, V
123.7, 292, 0, RS, V
123.7, 401, 0, IB, V
123.7, 425, 0, IB, V
123.7, 496, 0, RS, IV
123.7, 528, 0, FS, IV
123.7, 683, 0, RS, III
123.7, 688, 0, RS, III
123.7, 712, 0, RS, III
123.7, 742, 0, FS, III
123.8, 308, 0, RS, V
123.8, 661, 0, RS, III
123.8, 686, 0, RS, III
123.9, 280, 0, RS, V
123.9, 323, 0, RS, V
123.9, 332, 0, RS, V
123.9, 341, 0, RS, V
123.9, 609, 0, RS, III
123.9, 619, 0, RS, III
123.9, 623, 0, RS, III
124, 275, 0, RS, V
124, 312, 0, RS, V
124, 370, 0, FS, V
124, 375, 0, FS, V
124, 645, 0, RS, III
124, 668, 0, RS, III
124, 730, 0, FS, III
124.1, 287, 0, RS, V
124.1, 290, 0, RS, V
124.1, 331, 0, RS, V
124.1, 339, 0, RS, V
124.1, 347, 0, RS, V
124.1, 410, 0, IB, V
124.2, 361, 0, FS, V
124.2, 520, 0, FS, IV
124.2, 724, 0, FS, III
124.3, 355, 0, FS, V
124.3, 356, 0, FS, V
124.3, 378, 0, FS, V
124.3, 413, 0, IB, V
124.3, 444, 0, RS, IV
124.3, 646, 0, RS, III
124.3, 739, 0, FS, III
124.4, 365, 0, FS, V
124.4, 366, 0, FS, V
124.4, 371, 0, FS, V
124.4, 376, 0, FS, V
124.4, 450, 0, RS, IV
124.4, 539, 0, LTS, IV
124.4, 603, 0, RS, III
124.5, 362, 0, FS, V
124.5, 368, 0, FS, V
124.5, 372, 0, FS, V
124.5, 377, 0, FS, V
124.5, 384, 0, FS, V
124.5, 426, 0, IB, V
124.5, 616, 0, RS, III
124.5, 680, 0, RS, III
124.5, 716, 0, FS, III
124.6, 284, 0, RS, V
124.6, 357, 0, FS, V
124.6, 359, 0, FS, V
124.6, 364, 0, FS, V
124.6, 379, 0, FS, V
124.6, 380, 0, FS, V
124.6, 385, 0, FS, V
124.6, 546, 0, RS, III
124.6, 669, 0, RS, III
124.6, 729, 0, FS, III
124.6, 745, 0, LTS, III
124.7, 281, 0, RS, V
124.7, 369, 0, FS, V
124.7, 373, 0, FS, V
124.7, 374, 0, FS, V
124.7, 381, 0, FS, V
124.7, 383, 0, FS, V
124.7, 542, 0, LTS, IV
124.7, 653, 0, RS, III
124.7, 719, 0, FS, III
124.7, 737, 0, FS, III
124.8, 354, 0, FS, V
124.8, 358, 0, FS, V
124.8, 360, 0, FS, V
124.8, 363, 0, FS, V
124.8, 382, 0, FS, V
124.8, 715, 0, FS, III
124.8, 728, 0, FS, III
124.9, 403, 0, IB, V
124.9, 431, 0, IB, V
124.9, 564, 0, RS, III
124.9, 577, 0, RS, III
124.9, 622, 0, RS, III
124.9, 691, 0, RS, III
124.9, 733, 0, FS, III
124.9, 758, 0, LTS, III
125, 367, 0, FS, V
125, 418, 0, IB, V
125, 611, 0, RS, III
125, 675, 0, RS, III
125, 723, 0, FS, III
125, 726, 0, FS, III
125, 752, 0, LTS, III
125, 754, 0, LTS, III
125, 1019, 1, LTS, VI
125.1, 650, 0, RS, III
125.1, 698, 0, RS, III
125.1, 720, 0, FS, III
125.1, 722, 0, FS, III
125.1, 727, 0, FS, III
125.1, 734, 0, FS, III
125.1, 740, 0, FS, III
125.2, 510, 0, RS, IV
125.2, 543, 0, LTS, IV
125.3, 330, 0, RS, V
125.3, 620, 0, RS, III
125.3, 672, 0, RS, III
125.3, 678, 0, RS, III
125.3, 692, 0, RS, III
125.3, 732, 0, FS, III
125.4, 412, 0, IB, V
125.4, 430, 0, IB, V
125.4, 532, 0, LTS, IV
