206.4, 2049, 2, FS, IV
206.5, 2044, 2, FS, IV
206.6, 469, 0, RS, IV
206.6, 2039, 2, FS, IV
206.6, 2046, 2, FS, IV
206.6, 2056, 2, FS, IV
206.7, 524, 0, FS, IV
206.7, 1279, 1, FS, IV
206.7, 1287, 1, FS, IV
206.7, 2048, 2, FS, IV
206.7, 2055, 2, FS, IV
206.8, 1280, 1, FS, IV
206.8, 1291, 1, FS, IV
206.8, 2036, 2, FS, IV
206.8, 2037, 2, FS, IV
206.9, 518, 0, FS, IV
206.9, 530, 0, FS, IV
206.9, 1271, 1, FS, IV
206.9, 1284, 1, FS, IV
206.9, 1295, 1, FS, IV
206.9, 2040, 2, FS, IV
207, 1294, 1, FS, IV
207, 1304, 1, LTS, IV
207, 1305, 1, LTS, IV
207, 2050, 2, FS, IV
207.1, 1276, 1, FS, IV
207.1, 1285, 1, FS, IV
207.1, 1290, 1, FS, IV
207.1, 1298, 1, LTS, IV
207.1, 1300, 1, LTS, IV
207.2, 528, 0, FS, IV
207.2, 1270, 1, FS, IV
207.2, 1274, 1, FS, IV
207.2, 1275, 1, FS, IV
207.2, 1282, 1, FS, IV
207.3, 1281, 1, FS, IV
207.3, 1283, 1, FS, IV
207.3, 1286, 1, FS, IV
207.3, 1289, 1, FS, IV
207.4, 1272, 1, FS, IV
207.4, 1278, 1, FS, IV
207.4, 1293, 1, FS, IV
207.4, 2047, 2, FS, IV
207.5, 1277, 1, FS, IV
207.5, 1296, 1, LTS, IV
207.5, 1299, 1, LTS, IV
207.6, 516, 0, FS, IV
207.6, 2811, 3, FS, IV
207.7, 1196, 1, RS, IV
207.7, 1227, 1, RS, IV
207.7, 1258, 1, RS, IV
207.7, 1288, 1, FS, IV
207.8, 1222, 1, RS, IV
207.8, 1252, 1, RS, IV
207.8, 1265, 1, RS, IV
207.9, 1244, 1, RS, IV
207.9, 1302, 1, LTS, IV
208, 523, 0, FS, IV
208, 1243, 1, RS, IV
208, 1292, 1, FS, IV
208.1, 526, 0, FS, IV
208.1, 1206, 1, RS, IV
208.1, 1242, 1, RS, IV
208.1, 1263, 1, RS, IV
208.1, 2051, 2, FS, IV
208.2, 1223, 1, RS, IV
208.2, 1250, 1, RS, IV
208.3, 517, 0, FS, IV
208.3, 519, 0, FS, IV
208.3, 1214, 1, RS, IV
208.3, 1218, 1, RS, IV
208.3, 1224, 1, RS, IV
208.3, 1239, 1, RS, IV
208.3, 1261, 1, RS, IV
208.3, 1273, 1, FS, IV
208.3, 2042, 2, FS, IV
208.3, 2798, 3, FS, IV
208.3, 2814, 3, FS, IV
208.4, 1209, 1, RS, IV
208.4, 1230, 1, RS, IV
208.4, 1235, 1, RS, IV
208.4, 1237, 1, RS, IV
208.4, 1248, 1, RS, IV
208.4, 1268, 1, RS, IV
208.5, 1247, 1, RS, IV
208.6, 1221, 1, RS, IV
208.6, 1231, 1, RS, IV
208.6, 1254, 1, RS, IV
208.6, 1260, 1, RS, IV
208.7, 434, 0, RS, IV
208.7, 1213, 1, RS, IV
208.7, 1226, 1, RS, IV
208.7, 1234, 1, RS, IV
208.8, 1193, 1, RS, IV
208.8, 1199, 1, RS, IV
208.8, 1217, 1, RS, IV
208.8, 1240, 1, RS, IV
208.8, 1255, 1, RS, IV
208.8, 1257, 1, RS, IV
208.9, 1225, 1, RS, IV
208.9, 1238, 1, RS, IV
209, 515, 0, FS, IV
209, 1198, 1, RS, IV
209, 2032, 2, FS, IV
209, 2812, 3, FS, IV
209.1, 2021, 2, RS, IV
209.1, 2035, 2, FS, IV
209.1, 2038, 2, FS, IV
209.2, 1203, 1, RS, IV
209.3, 2056, 2, FS, IV
209.3, 2804, 3, FS, IV
209.6, 525, 0, FS, IV
209.6, 531, 0, FS, IV
209.7, 438, 0, RS, IV
209.7, 484, 0, RS, IV
209.7, 1279, 1, FS, IV
209.8, 2808, 3, FS, IV
210, 2800, 3, FS, IV
210, 3537, 4, RS, IV
210.1, 1285, 1, FS, IV
210.1, 1981, 2, RS, IV
210.2, 510, 0, FS, IV
210.2, 1267, 1, RS, IV
210.2, 1287, 1, FS, IV
210.2, 1291, 1, FS, IV
210.2, 2033, 2, FS, IV
210.3, 2795, 3, FS, IV
210.4, 522, 0, FS, IV
210.4, 2053, 2, FS, IV
210.5, 2810, 3, FS, IV
210.6, 534, 0, FS, IV
210.6, 1294, 1, FS, IV
210.6, 2807, 3, FS, IV
210.7, 532, 0, FS, IV
210.8, 1275, 1, FS, IV
210.8, 1282, 1, FS, IV
211, 432, 0, RS, IV
211, 1274, 1, FS, IV
211.1, 466, 0, RS, IV
211.1, 496, 0, RS, IV
211.2, 512, 0, FS, IV
211.2, 1271, 1, FS, IV
211.2, 1277, 1, FS, IV
211.2, 1283, 1, FS, IV
211.3, 514, 0, FS, IV
211.3, 1284, 1, FS, IV
211.3, 1286, 1, FS, IV
211.3, 1289, 1, FS, IV
211.4, 2031, 2, FS, IV
211.5, 513, 0, FS, IV
211.5, 2003, 2, RS, IV
211.5, 2034, 2, FS, IV
211.6, 1270, 1, FS, IV
211.6, 1295, 1, FS, IV
211.7, 521, 0, FS, IV
211.7, 1293, 1, FS, IV
211.7, 2793, 3, FS, IV
211.8, 1297, 1, LTS, IV
211.9, 529, 0, FS, IV
211.9, 1280, 1, FS, IV
211.9, 1296, 1, LTS, IV
212, 511, 0, FS, IV
212, 1300, 1, LTS, IV
212.1, 527, 0, FS, IV
212.1, 2008, 2, RS, IV
212.2, 1303, 1, LTS, IV
212.2, 2805, 3, FS, IV
212.3, 516, 0, FS, IV
212.3, 1272, 1, FS, IV
212.3, 1276, 1, FS, IV
212.3, 1304, 1, LTS, IV
212.3, 2041, 2, FS, IV
212.5, 523, 0, FS, IV
212.5, 533, 0, FS, IV
212.5, 1194, 1, RS, IV
212.5, 2042, 2, FS, IV
212.5, 2052, 2, FS, IV
212.6, 1279, 1, FS, IV
212.6, 1298, 1, LTS, IV
212.6, 2043, 2, FS, IV
212.6, 2055, 2, FS, IV
212.7, 531, 0, FS, IV
212.7, 1302, 1, LTS, IV
212.8, 519, 0, FS, IV
212.8, 2040, 2, FS, IV
212.9, 1281, 1, FS, IV
212.9, 1287, 1, FS, IV
212.9, 1291, 1, FS, IV
212.9, 2048, 2, FS, IV
213, 2035, 2, FS, IV
213.1, 517, 0, FS, IV
213.1, 1285, 1, FS, IV
213.1, 1299, 1, LTS, IV
213.1, 2033, 2, FS, IV
213.2, 1288, 1, FS, IV
213.2, 1290, 1, FS, IV
213.3, 534, 0, FS, IV
213.4, 515, 0, FS, IV
213.4, 1196, 1, RS, IV
213.4, 1227, 1, RS, IV
213.4, 1258, 1, RS, IV
213.4, 2813, 3, FS, IV
213.5, 525, 0, FS, IV
213.5, 1222, 1, RS, IV
213.5, 1265, 1, RS, IV
213.5, 1294, 1, FS, IV
213.6, 1252, 1, RS, IV
213.7, 1244, 1, RS, IV
213.7, 2049, 2, FS, IV
213.7, 2053, 2, FS, IV
213.7, 2792, 3, FS, IV
213.8, 1282, 1, FS, IV
213.8, 2050, 2, FS, IV
213.9, 1274, 1, FS, IV
214, 530, 0, FS, IV
214, 1243, 1, RS, IV
214, 1275, 1, FS, IV
214, 2038, 2, FS, IV
214.1, 509, 0, FS, IV
214.1, 1242, 1, RS, IV
214.1, 1263, 1, RS, IV
214.1, 1271, 1, FS, IV
214.1, 2037, 2, FS, IV
214.2, 1206, 1, RS, IV
214.2, 1277, 1, FS, IV
214.2, 1286, 1, FS, IV
214.2, 2046, 2, FS, IV
214.3, 526, 0, FS, IV
214.3, 1250, 1, RS, IV
214.3, 1283, 1, FS, IV
214.3, 1289, 1, FS, IV
214.4, 1214, 1, RS, IV
214.4, 1223, 1, RS, IV
214.4, 1236, 1, RS, IV
214.5, 483, 0, RS, IV
214.5, 514, 0, FS, IV
214.5, 1218, 1, RS, IV
214.5, 1224, 1, RS, IV
214.5, 1295, 1, FS, IV
214.5, 1306, 1, LTS, IV
214.5, 2001, 2, RS, IV
214.5, 2056, 2, FS, IV
214.6, 1239, 1, RS, IV
214.6, 1261, 1, RS, IV
214.7, 1209, 1, RS, IV
214.7, 1235, 1, RS, IV
214.7, 1237, 1, RS, IV
214.8, 1230, 1, RS, IV
214.8, 1268, 1, RS, IV
214.8, 2809, 3, FS, IV
215, 2045, 2, FS, IV
215.1, 1221, 1, RS, IV
215.1, 1254, 1, RS, IV
215.2, 1231, 1, RS, IV
215.2, 1247, 1, RS, IV
215.2, 1260, 1, RS, IV
215.3, 1226, 1, RS, IV
215.3, 1234, 1, RS, IV
215.4, 1213, 1, RS, IV
215.4, 2034, 2, FS, IV
215.4, 2036, 2, FS, IV
215.5, 1199, 1, RS, IV
215.5, 1217, 1, RS, IV
215.6, 524, 0, FS, IV
215.6, 1193, 1, RS, IV
215.6, 1240, 1, RS, IV
215.6, 1255, 1, RS, IV
215.6, 1257, 1, RS, IV
215.6, 1986, 2, RS, IV
215.6, 2055, 2, FS, IV
215.7, 1225, 1, RS, IV
215.7, 1238, 1, RS, IV
215.8, 1287, 1, FS, IV
215.9, 1198, 1, RS, IV
216, 523, 0, FS, IV
216, 1293, 1, FS, IV
216, 2032, 2, FS, IV
216.3, 1285, 1, FS, IV
216.3, 1296, 1, LTS, IV
216.5, 1957, 2, RS, IV
216.5, 2811, 3, FS, IV
216.6, 1297, 1, LTS, IV
216.6, 2804, 3, FS, IV
216.6, 2815, 3, FS, IV
216.7, 519, 0, FS, IV
216.7, 527, 0, FS, IV
216.7, 1303, 1, LTS, IV
216.9, 1300, 1, LTS, IV
217.2, 1286, 1, FS, IV
217.3, 1270, 1, FS, IV
217.3, 1278, 1, FS, IV
217.3, 1304, 1, LTS, IV
217.4, 1301, 1, LTS, IV
217.4, 1305, 1, LTS, IV
217.5, 518, 0, FS, IV
217.5, 1282, 1, FS, IV
217.5, 1302, 1, LTS, IV
217.7, 1275, 1, FS, IV
217.7, 1298, 1, LTS, IV
217.7, 1299, 1, LTS, IV
217.7, 2814, 3, FS, IV
217.8, 1271, 1, FS, IV
217.8, 1279, 1, FS, IV
217.8, 2047, 2, FS, IV
217.8, 3571, 4, FS, IV
