581.7, 1322, 1, RS, III
584.2, 1413, 1, RS, III
586.4, 2914, 3, RS, III
587.9, 2225, 2, RS, III
591.3, 3043, 3, LTS, III
593.4, 2282, 2, LTS, III
599.1, 3802, 4, LTS, III
603.8, 1394, 1, RS, III
603.9, 744, 0, LTS, III
604.7, 2224, 2, RS, III
606.9, 3789, 4, LTS, III
610.6, 3788, 4, LTS, III
611.6, 3028, 3, LTS, III
614.8, 2937, 3, RS, III
617.4, 3611, 4, RS, III
621.5, 1511, 1, LTS, III
628.7, 760, 0, LTS, III
631.9, 750, 0, LTS, III
632.6, 3803, 4, LTS, III
640, 749, 0, LTS, III
643, 3804, 4, LTS, III
644.5, 3790, 4, LTS, III
649, 3793, 4, LTS, III
650.8, 3027, 3, LTS, III
652.2, 2266, 2, LTS, III
653, 3752, 4, RS, III
665.7, 1520, 1, LTS, III
667, 2282, 2, LTS, III
667.1, 758, 0, LTS, III
676.2, 3719, 4, RS, III
683.6, 3789, 4, LTS, III
684.9, 3802, 4, LTS, III
686.8, 746, 0, LTS, III
689.6, 2267, 2, LTS, III
693.1, 3033, 3, LTS, III
709.9, 745, 0, LTS, III
718.4, 1518, 1, LTS, III
722.5, 2279, 2, LTS, III
725.6, 3043, 3, LTS, III
726.7, 3029, 3, LTS, III
730.1, 612, 0, RS, III
730.6, 3669, 4, RS, III
745.3, 1505, 1, LTS, III
748.6, 1502, 1, LTS, III
753.9, 3041, 3, LTS, III
759.4, 749, 0, LTS, III
763.4, 3036, 3, LTS, III
782, 3031, 3, LTS, III
799.8, 2266, 2, LTS, III
809.8, 645, 0, RS, III
812.1, 3802, 4, LTS, III
814.7, 745, 0, LTS, III
821.6, 3043, 3, LTS, III
824.3, 744, 0, LTS, III
825.7, 2200, 2, RS, III
827.6, 1506, 1, LTS, III
830.4, 3714, 4, RS, III
831.2, 1518, 1, LTS, III
835.2, 2177, 2, RS, III
835.6, 2198, 2, RS, III
864.8, 2282, 2, LTS, III
868, 2160, 2, RS, III
869.2, 3804, 4, LTS, III
885.4, 3041, 3, LTS, III
889.9, 1511, 1, LTS, III
902.5, 1519, 1, LTS, III
904.4, 1505, 1, LTS, III
904.7, 1521, 1, LTS, III
910.7, 749, 0, LTS, III
923.2, 3788, 4, LTS, III
924.7, 2188, 2, RS, III
927.9, 2275, 2, LTS, III
941, 3036, 3, LTS, III
941.2, 3793, 4, LTS, III
944.3, 744, 0, LTS, III
953.5, 3790, 4, LTS, III
955.9, 1506, 1, LTS, III
956.6, 2280, 2, LTS, III
959.8, 1507, 1, LTS, III
968.6, 3028, 3, LTS, III
988.1, 1401, 1, RS, III
