109.5, 1333, 1, RS, III
109.5, 1369, 1, RS, III
109.5, 1411, 1, RS, III
109.5, 1427, 1, RS, III
109.5, 1428, 1, RS, III
109.5, 1492, 1, FS, III
109.6, 1306, 1, LTS, IV
109.6, 1317, 1, RS, III
109.6, 1381, 1, RS, III
109.6, 1392, 1, RS, III
109.6, 1441, 1, RS, III
109.6, 1447, 1, RS, III
109.6, 1468, 1, RS, III
109.6, 1470, 1, RS, III
109.6, 1473, 1, RS, III
109.6, 1474, 1, RS, III
109.6, 1479, 1, FS, III
109.6, 1481, 1, FS, III
109.6, 1486, 1, FS, III
109.6, 1487, 1, FS, III
109.6, 1497, 1, FS, III
109.6, 1508, 1, FS, III
109.7, 519, 0, FS, IV
109.7, 1304, 1, LTS, IV
109.7, 1311, 1, RS, III
109.7, 1332, 1, RS, III
109.7, 1354, 1, RS, III
109.7, 1375, 1, RS, III
109.7, 1419, 1, RS, III
109.7, 1433, 1, RS, III
109.7, 1478, 1, RS, III
109.7, 2034, 2, FS, IV
109.8, 1313, 1, RS, III
109.8, 1319, 1, RS, III
109.8, 1351, 1, RS, III
109.8, 1376, 1, RS, III
109.8, 1458, 1, RS, III
109.8, 1460, 1, RS, III
109.8, 1464, 1, RS, III
109.8, 2029, 2, FS, IV
109.9, 1294, 1, LTS, IV
109.9, 1331, 1, RS, III
109.9, 1341, 1, RS, III
109.9, 1346, 1, RS, III
109.9, 1357, 1, RS, III
109.9, 1386, 1, RS, III
109.9, 1399, 1, RS, III
109.9, 1410, 1, RS, III
109.9, 1431, 1, RS, III
109.9, 1432, 1, RS, III
109.9, 1467, 1, RS, III
109.9, 1483, 1, FS, III
109.9, 1502, 1, FS, III
110, 1144, 1, FS, V
110, 1298, 1, LTS, IV
110, 1310, 1, RS, III
110, 1312, 1, RS, III
110, 1321, 1, RS, III
110, 1323, 1, RS, III
110, 1374, 1, RS, III
110, 1405, 1, RS, III
110, 1417, 1, RS, III
110, 1436, 1, RS, III
110.1, 1280, 1, FS, IV
110.1, 1287, 1, FS, IV
110.1, 1380, 1, RS, III
110.1, 1384, 1, RS, III
110.1, 1402, 1, RS, III
110.1, 1404, 1, RS, III
110.1, 1461, 1, RS, III
110.1, 1506, 1, FS, III
110.1, 2028, 2, FS, IV
110.1, 2045, 2, FS, IV
110.2, 1278, 1, FS, IV
110.2, 1316, 1, RS, III
110.2, 1339, 1, RS, III
110.2, 1344, 1, RS, III
110.2, 1390, 1, RS, III
110.2, 1395, 1, RS, III
110.2, 1440, 1, RS, III
110.3, 1268, 1, FS, IV
110.3, 1272, 1, FS, IV
110.3, 1329, 1, RS, III
110.3, 1335, 1, RS, III
110.3, 1338, 1, RS, III
110.3, 1340, 1, RS, III
110.3, 1347, 1, RS, III
110.3, 1378, 1, RS, III
110.3, 1403, 1, RS, III
110.3, 1429, 1, RS, III
110.3, 1449, 1, RS, III
110.3, 1482, 1, FS, III
110.4, 1325, 1, RS, III
110.4, 1379, 1, RS, III
110.4, 1389, 1, RS, III
110.4, 1398, 1, RS, III
110.4, 1450, 1, RS, III
110.5, 512, 0, FS, IV
110.5, 1302, 1, LTS, IV
110.5, 1307, 1, RS, III
110.5, 1401, 1, RS, III
110.5, 1413, 1, RS, III
110.5, 1437, 1, RS, III
110.5, 1442, 1, RS, III
110.5, 1445, 1, RS, III
110.6, 1385, 1, RS, III
110.6, 1451, 1, RS, III
