118.1, 2619, 3, RS, V
118.2, 2640, 3, FS, V
118.3, 1177, 1, IB, V
118.3, 2281, 2, LTS, III
118.5, 1439, 1, RS, III
118.5, 2961, 3, RS, III
118.5, 3428, 4, FS, V
118.6, 279, 0, RS, V
118.6, 2259, 2, FS, III
118.6, 3413, 4, FS, V
118.7, 2660, 3, FS, V
118.7, 2667, 3, FS, V
118.9, 2655, 3, FS, V
119, 419, 0, IB, V
119.1, 2273, 2, LTS, III
119.1, 2649, 3, FS, V
119.1, 2656, 3, FS, V
119.2, 407, 0, IB, V
119.2, 2968, 3, RS, III
119.2, 3002, 3, FS, III
119.4, 1515, 1, LTS, III
120, 328, 0, RS, V
120.1, 2663, 3, FS, V
120.2, 385, 0, FS, V
120.2, 3467, 4, IB, V
120.3, 418, 0, IB, V
120.5, 2947, 3, RS, III
120.7, 3427, 4, FS, V
120.8, 2826, 3, LTS, IV
120.9, 2944, 3, RS, III
120.9, 3640, 4, RS, III
121, 2057, 2, LTS, IV
121, 2179, 2, RS, III
121, 2939, 3, RS, III
121.2, 2450, 3, RS, VI
121.2, 2693, 3, IB, V
121.3, 1962, 2, RS, IV
121.3, 3025, 3, FS, III
121.3, 3406, 4, FS, V
121.4, 374, 0, FS, V
121.4, 2644, 3, FS, V
121.5, 2888, 3, RS, III
122, 2692, 3, IB, V
122, 3424, 4, FS, V
122.1, 3417, 4, FS, V
122.3, 2241, 2, FS, III
122.4, 2138, 2, RS, III
122.6, 3420, 4, FS, V
122.7, 361, 0, FS, V
122.7, 1431, 1, RS, III
122.7, 1948, 2, IB, V
122.7, 3258, 4, RS, VI
122.9, 382, 0, FS, V
123, 2706, 3, IB, V
123.2, 2274, 2, LTS, III
123.3, 355, 0, FS, V
123.3, 3400, 4, FS, V
123.4, 2822, 3, LTS, IV
123.4, 2875, 3, RS, III
123.5, 249, 0, FS, VI
123.5, 2702, 3, IB, V
123.6, 2125, 2, RS, III
123.6, 3423, 4, FS, V
123.8, 299, 0, RS, V
123.8, 2873, 3, RS, III
123.9, 2690, 3, IB, V
124, 379, 0, FS, V
124, 2905, 3, RS, III
124.1, 617, 0, RS, III
124.2, 2066, 2, LTS, IV
124.4, 411, 0, IB, V
124.4, 2253, 2, FS, III
124.5, 2121, 2, RS, III
124.6, 2931, 3, RS, III
124.6, 3396, 4, FS, V
124.9, 369, 0, FS, V
124.9, 2829, 3, RS, III
125, 631, 0, RS, III
125, 2064, 2, LTS, IV
125.1, 399, 0, LTS, V
125.2, 412, 0, IB, V
125.5, 530, 0, LTS, IV
125.5, 2082, 2, RS, III
125.8, 351, 0, FS, V
125.9, 2056, 2, LTS, IV
126.1, 758, 0, LTS, III
126.2, 424, 0, IB, V
126.6, 1297, 1, LTS, IV
126.7, 625, 0, RS, III
126.7, 2191, 2, RS, III
127.1, 2050, 2, FS, IV
127.2, 402, 0, LTS, V
127.2, 1514, 1, LTS, III
127.2, 2134, 2, RS, III
127.5, 1186, 1, IB, V
127.5, 2846, 3, RS, III
127.5, 2933, 3, RS, III
127.7, 726, 0, FS, III
127.8, 3393, 4, FS, V
128.3, 1302, 1, LTS, IV
128.3, 3763, 4, FS, III
128.4, 700, 0, RS, III
128.6, 755, 0, LTS, III
128.6, 3430, 4, LTS, V
128.8, 2246, 2, FS, III
128.9, 350, 0, FS, V
129, 601, 0, RS, III
129.1, 2878, 3, RS, III
129.6, 585, 0, RS, III
130.1, 541, 0, LTS, IV
130.2, 2123, 2, RS, III
130.4, 545, 0, LTS, IV
130.4, 1447, 1, RS, III
130.6, 1187, 1, IB, V
130.7, 1144, 1, FS, V
130.9, 2695, 3, IB, V
131.3, 2700, 3, IB, V
131.5, 3235, 4, RS, VI
131.6, 2063, 2, LTS, IV
131.9, 611, 0, RS, III
131.9, 2835, 3, RS, III
132, 2704, 3, IB, V
132.4, 2965, 3, RS, III
132.6, 754, 0, LTS, III
132.6, 2955, 3, RS, III
132.9, 560, 0, RS, III
133.1, 628, 0, RS, III
133.1, 751, 0, LTS, III
133.1, 1121, 1, FS, V
133.2, 1185, 1, IB, V
133.2, 2135, 2, RS, III
133.6, 3765, 4, FS, III
133.9, 2068, 2, RS, III
133.9, 2697, 3, IB, V
134, 2894, 3, RS, III
134, 2990, 3, RS, III
134.1, 3579, 4, LTS, IV
134.4, 539, 0, LTS, IV
134.4, 1881, 2, FS, V
134.4, 2703, 3, IB, V
134.9, 2067, 2, LTS, IV
135.4, 554, 0, RS, III
135.4, 2588, 3, RS, V
135.4, 2897, 3, RS, III
135.5, 338, 0, RS, V
135.5, 535, 0, LTS, IV
135.9, 2699, 3, IB, V
136.1, 2690, 3, IB, V
136.2, 706, 0, RS, III
136.2, 3747, 4, RS, III
136.3, 2987, 3, RS, III
136.5, 406, 0, IB, V
136.5, 573, 0, RS, III
136.6, 2592, 3, RS, V
136.9, 1941, 2, IB, V
136.9, 3710, 4, RS, III
137, 1946, 2, IB, V
137.2, 298, 0, RS, V
137.3, 2969, 3, RS, III
137.4, 1134, 1, FS, V
137.4, 2694, 3, IB, V
137.9, 2708, 3, IB, V
138.1, 1936, 2, IB, V
138.6, 413, 0, IB, V
138.7, 1360, 1, RS, III
138.8, 416, 0, IB, V
138.8, 423, 0, IB, V
138.8, 703, 0, RS, III
138.8, 2880, 3, RS, III
138.9, 1324, 1, RS, III
138.9, 1951, 2, IB, V
139, 2550, 3, LTS, VI
139, 2692, 3, IB, V
139, 2884, 3, RS, III
139.1, 1947, 2, IB, V
139.1, 2552, 3, LTS, VI
139.3, 2612, 3, RS, V
139.3, 2899, 3, RS, III
139.4, 2565, 3, RS, V
139.5, 2937, 3, RS, III
139.6, 415, 0, IB, V
139.6, 651, 0, RS, III
139.9, 429, 0, IB, V
139.9, 3789, 4, FS, III
140, 2419, 3, RS, VI
140.1, 422, 0, IB, V
140.2, 406, 0, IB, V
140.2, 2706, 3, IB, V
140.3, 285, 0, RS, V
140.3, 2705, 3, IB, V
140.4, 1517, 1, LTS, III
140.5, 2571, 3, RS, V
140.6, 300, 0, RS, V
140.6, 342, 0, RS, V
140.9, 408, 0, IB, V
140.9, 1942, 2, IB, V
141, 643, 0, RS, III
141, 2693, 3, IB, V
141.1, 430, 0, IB, V
141.1, 2999, 3, RS, III
141.3, 1120, 1, FS, V
141.3, 2689, 3, IB, V
141.4, 836, 1, RS, VI
141.4, 1927, 2, IB, V
141.4, 2561, 3, RS, V
141.6, 2688, 3, IB, V
141.6, 2694, 3, IB, V
141.7, 2557, 3, RS, V
141.7, 2618, 3, RS, V
142, 1184, 1, IB, V
142, 2601, 3, RS, V
142.1, 2596, 3, RS, V
142.1, 2652, 3, FS, V
142.1, 2924, 3, RS, III
142.1, 3004, 3, FS, III
142.2, 274, 0, RS, V
142.2, 307, 0, RS, V
142.2, 426, 0, IB, V
142.2, 2610, 3, RS, V
142.2, 2624, 3, RS, V
142.3, 1180, 1, IB, V
142.3, 2617, 3, RS, V
