108.1, 1320, 1, RS, III
108.1, 1342, 1, RS, III
108.1, 1352, 1, RS, III
108.1, 1426, 1, RS, III
108.1, 1430, 1, RS, III
108.1, 1472, 1, FS, III
108.1, 1485, 1, FS, III
108.1, 1494, 1, FS, III
108.1, 2026, 2, RS, IV
108.1, 2046, 2, FS, IV
108.2, 1285, 1, FS, IV
108.2, 1336, 1, RS, III
108.2, 1459, 1, RS, III
108.2, 1487, 1, FS, III
108.2, 1488, 1, FS, III
108.2, 1492, 1, FS, III
108.2, 1499, 1, FS, III
108.2, 2045, 2, FS, IV
108.2, 2049, 2, FS, IV
108.2, 2050, 2, FS, IV
108.3, 487, 0, RS, IV
108.3, 1289, 1, FS, IV
108.3, 1296, 1, LTS, IV
108.3, 1302, 1, LTS, IV
108.3, 1321, 1, RS, III
108.3, 1323, 1, RS, III
108.3, 1325, 1, RS, III
108.3, 1326, 1, RS, III
108.3, 1363, 1, RS, III
108.3, 1417, 1, RS, III
108.3, 1440, 1, RS, III
108.3, 1457, 1, RS, III
108.3, 1480, 1, FS, III
108.3, 1481, 1, FS, III
108.3, 1500, 1, FS, III
108.3, 2041, 2, FS, IV
108.4, 433, 0, RS, IV
108.4, 1301, 1, LTS, IV
108.4, 1356, 1, RS, III
108.4, 1366, 1, RS, III
108.4, 1367, 1, RS, III
108.4, 1413, 1, RS, III
108.4, 1419, 1, RS, III
108.4, 1425, 1, RS, III
108.4, 1443, 1, RS, III
108.4, 1476, 1, FS, III
108.4, 1479, 1, FS, III
108.4, 2044, 2, FS, IV
108.4, 2059, 2, LTS, IV
108.5, 475, 0, RS, IV
108.5, 1284, 1, FS, IV
108.5, 1297, 1, LTS, IV
108.5, 1303, 1, LTS, IV
108.5, 1307, 1, RS, III
108.5, 1315, 1, RS, III
108.5, 1317, 1, RS, III
108.5, 1357, 1, RS, III
108.5, 1368, 1, RS, III
108.5, 1421, 1, RS, III
108.5, 1424, 1, RS, III
108.5, 1497, 1, FS, III
108.5, 1502, 1, FS, III
108.5, 1972, 2, RS, IV
108.6, 1299, 1, LTS, IV
108.6, 1316, 1, RS, III
108.6, 1349, 1, RS, III
108.6, 1353, 1, RS, III
108.6, 1375, 1, RS, III
108.6, 1377, 1, RS, III
108.6, 1386, 1, RS, III
108.6, 1397, 1, RS, III
108.6, 1401, 1, RS, III
108.6, 1403, 1, RS, III
108.6, 1407, 1, RS, III
108.6, 1410, 1, RS, III
108.6, 1415, 1, RS, III
108.6, 1427, 1, RS, III
108.6, 1444, 1, RS, III
108.6, 1455, 1, RS, III
108.6, 1483, 1, FS, III
108.6, 1490, 1, FS, III
108.6, 1493, 1, FS, III
108.7, 1283, 1, FS, IV
108.7, 1311, 1, RS, III
108.7, 1312, 1, RS, III
108.7, 1341, 1, RS, III
108.7, 1345, 1, RS, III
108.7, 1348, 1, RS, III
108.7, 1361, 1, RS, III
108.7, 1393, 1, RS, III
108.7, 1456, 1, RS, III
108.7, 1464, 1, RS, III
108.7, 1486, 1, FS, III
108.7, 1498, 1, FS, III
108.7, 1501, 1, FS, III
108.7, 2022, 2, RS, IV
108.7, 2214, 2, RS, III
108.8, 1358, 1, RS, III
108.8, 1359, 1, RS, III
108.8, 1378, 1, RS, III
108.8, 1399, 1, RS, III
108.8, 1406, 1, RS, III
108.8, 1408, 1, RS, III
108.8, 1431, 1, RS, III
108.8, 1460, 1, RS, III
108.8, 1463, 1, RS, III
108.8, 1469, 1, FS, III
108.9, 1295, 1, LTS, IV
108.9, 1310, 1, RS, III
108.9, 1333, 1, RS, III
108.9, 1338, 1, RS, III
108.9, 1339, 1, RS, III
108.9, 1391, 1, RS, III
108.9, 1396, 1, RS, III
108.9, 1422, 1, RS, III
108.9, 1449, 1, RS, III
108.9, 1452, 1, RS, III
108.9, 1468, 1, FS, III
109, 260, 0, LTS, VI
109, 1304, 1, LTS, IV
109, 1309, 1, RS, III
109, 1331, 1, RS, III
109, 1360, 1, RS, III
109, 1365, 1, RS, III
109, 1372, 1, RS, III
109, 1416, 1, RS, III
109, 1418, 1, RS, III
109, 1437, 1, RS, III
109, 1438, 1, RS, III
109, 1439, 1, RS, III
109, 1454, 1, RS, III
109, 1475, 1, FS, III
109, 1478, 1, FS, III
109.1, 1305, 1, LTS, IV
109.1, 1318, 1, RS, III
109.1, 1332, 1, RS, III
109.1, 1337, 1, RS, III
109.1, 1346, 1, RS, III
109.1, 1350, 1, RS, III
109.1, 1355, 1, RS, III
109.1, 1376, 1, RS, III
109.1, 1398, 1, RS, III
109.1, 1414, 1, RS, III
109.1, 1441, 1, RS, III
109.1, 1461, 1, RS, III
109.1, 1504, 1, FS, III
109.2, 1319, 1, RS, III
109.2, 1354, 1, RS, III
109.2, 1362, 1, RS, III
109.2, 1373, 1, RS, III
109.2, 1381, 1, RS, III
109.2, 1405, 1, RS, III
109.2, 1428, 1, RS, III
109.2, 1429, 1, RS, III
109.2, 1462, 1, RS, III
109.2, 1474, 1, FS, III
109.2, 1496, 1, FS, III
109.3, 1340, 1, RS, III
109.3, 1371, 1, RS, III
109.3, 1385, 1, RS, III
109.3, 1420, 1, RS, III
109.3, 1423, 1, RS, III
109.3, 1445, 1, RS, III
109.3, 1451, 1, RS, III
109.3, 1453, 1, RS, III
109.3, 2009, 2, RS, IV
109.4, 1306, 1, LTS, IV
109.4, 1327, 1, RS, III
109.4, 1347, 1, RS, III
109.4, 1374, 1, RS, III
109.4, 1379, 1, RS, III
109.4, 1387, 1, RS, III
109.4, 1388, 1, RS, III
109.4, 1400, 1, RS, III
109.4, 1435, 1, RS, III
109.4, 1436, 1, RS, III
109.4, 1458, 1, RS, III
109.4, 1466, 1, RS, III
109.4, 1477, 1, FS, III
109.4, 1495, 1, FS, III
109.5, 1292, 1, FS, IV
109.5, 1322, 1, RS, III
109.5, 1330, 1, RS, III
109.5, 1364, 1, RS, III
109.5, 1412, 1, RS, III
109.5, 1446, 1, RS, III
109.6, 1314, 1, RS, III
109.6, 1335, 1, RS, III
109.6, 1384, 1, RS, III
109.7, 1328, 1, RS, III
109.7, 1380, 1, RS, III
109.7, 1450, 1, RS, III
109.7, 1465, 1, RS, III
109.7, 1491, 1, FS, III
109.8, 491, 0, RS, IV
109.8, 1276, 1, RS, IV
109.8, 1278, 1, FS, IV
109.8, 1324, 1, RS, III
109.8, 1370, 1, RS, III
109.8, 1448, 1, RS, III
109.8, 1473, 1, FS, III
109.8, 2802, 3, FS, IV
109.9, 451, 0, RS, IV
