114, 1076, 1, RS, V
114, 1097, 1, RS, V
114, 1164, 1, IB, V
114, 1170, 1, IB, V
114, 1189, 1, IB, V
114, 1275, 1, FS, IV
114, 1278, 1, FS, IV
114, 1400, 1, RS, III
114, 1506, 1, FS, III
114, 1509, 1, FS, III
114.1, 1177, 1, IB, V
114.1, 1393, 1, RS, III
114.1, 1460, 1, RS, III
114.2, 1058, 1, RS, V
114.2, 1089, 1, RS, V
114.3, 1068, 1, RS, V
114.3, 1071, 1, RS, V
114.3, 1174, 1, IB, V
114.3, 1187, 1, IB, V
114.3, 1369, 1, RS, III
114.3, 1487, 1, FS, III
114.4, 1073, 1, RS, V
114.4, 1080, 1, RS, V
114.4, 1163, 1, IB, V
114.4, 1172, 1, IB, V
114.4, 1185, 1, IB, V
114.4, 1492, 1, FS, III
114.5, 1034, 1, RS, V
114.5, 1075, 1, RS, V
114.5, 1166, 1, IB, V
114.5, 1190, 1, IB, V
114.6, 1055, 1, RS, V
114.6, 1060, 1, RS, V
114.6, 1081, 1, RS, V
114.6, 1085, 1, RS, V
114.6, 1100, 1, RS, V
114.6, 1101, 1, RS, V
114.6, 1182, 1, IB, V
114.6, 1184, 1, IB, V
114.6, 1496, 1, FS, III
114.6, 1501, 1, FS, III
114.7, 1052, 1, RS, V
114.7, 1062, 1, RS, V
114.7, 1074, 1, RS, V
114.7, 1079, 1, RS, V
114.7, 1093, 1, RS, V
114.7, 1183, 1, IB, V
114.7, 1494, 1, FS, III
114.8, 1038, 1, RS, V
114.8, 1054, 1, RS, V
114.8, 1091, 1, RS, V
114.8, 1092, 1, RS, V
114.8, 1110, 1, RS, V
114.8, 1175, 1, IB, V
114.8, 1192, 1, IB, V
114.8, 1480, 1, FS, III
114.8, 1484, 1, FS, III
114.8, 1488, 1, FS, III
114.8, 1493, 1, FS, III
114.8, 1497, 1, FS, III
114.8, 1507, 1, FS, III
114.8, 1510, 1, FS, III
114.8, 2258, 2, FS, III
114.8, 2259, 2, FS, III
114.9, 1037, 1, RS, V
114.9, 1059, 1, RS, V
114.9, 1082, 1, RS, V
114.9, 1088, 1, RS, V
114.9, 1090, 1, RS, V
114.9, 1095, 1, RS, V
114.9, 1119, 1, RS, V
114.9, 1180, 1, IB, V
114.9, 1181, 1, IB, V
114.9, 1186, 1, IB, V
114.9, 1482, 1, FS, III
114.9, 1503, 1, FS, III
114.9, 2241, 2, FS, III
114.9, 2255, 2, FS, III
115, 733, 0, FS, III
115, 1047, 1, RS, V
115, 1056, 1, RS, V
115, 1069, 1, RS, V
115, 1099, 1, RS, V
115, 1107, 1, RS, V
115, 1161, 1, IB, V
115, 1434, 1, RS, III
115, 2242, 2, FS, III
115, 2268, 2, FS, III
115.1, 720, 0, FS, III
115.1, 1036, 1, RS, V
115.1, 1045, 1, RS, V
115.1, 1057, 1, RS, V
115.1, 1070, 1, RS, V
115.1, 1094, 1, RS, V
115.1, 1168, 1, IB, V
115.1, 1179, 1, IB, V
115.1, 1495, 1, FS, III
115.1, 2262, 2, FS, III
115.1, 2264, 2, FS, III
115.2, 731, 0, FS, III
115.2, 1039, 1, RS, V
115.2, 1048, 1, RS, V
115.2, 1083, 1, RS, V
115.2, 1084, 1, RS, V
115.2, 1103, 1, RS, V
115.2, 1108, 1, RS, V
115.2, 1171, 1, IB, V
115.2, 1178, 1, IB, V
115.2, 1188, 1, IB, V
115.2, 1486, 1, FS, III
115.2, 1489, 1, FS, III
115.2, 2256, 2, FS, III
115.2, 2263, 2, FS, III
115.3, 722, 0, FS, III
115.3, 723, 0, FS, III
115.3, 740, 0, FS, III
115.3, 741, 0, FS, III
115.3, 1053, 1, RS, V
115.3, 1067, 1, RS, V
115.3, 1078, 1, RS, V
115.3, 1104, 1, RS, V
115.3, 1112, 1, RS, V
115.3, 1114, 1, RS, V
115.3, 1115, 1, RS, V
115.3, 1176, 1, IB, V
115.3, 2252, 2, FS, III
115.4, 732, 0, FS, III
115.4, 746, 0, FS, III
115.4, 749, 0, FS, III
115.4, 1046, 1, RS, V
115.4, 1063, 1, RS, V
115.4, 1066, 1, RS, V
115.4, 1086, 1, RS, V
115.4, 1162, 1, IB, V
115.4, 2244, 2, FS, III
115.4, 2250, 2, FS, III
115.5, 726, 0, FS, III
115.5, 734, 0, FS, III
115.5, 737, 0, FS, III
115.5, 1041, 1, RS, V
115.5, 1044, 1, RS, V
115.5, 1050, 1, RS, V
115.5, 1072, 1, RS, V
115.5, 1109, 1, RS, V
115.5, 1113, 1, RS, V
115.5, 1169, 1, IB, V
115.5, 1191, 1, IB, V
115.5, 1483, 1, FS, III
115.5, 2254, 2, FS, III
115.5, 2270, 2, FS, III
115.6, 738, 0, FS, III
115.6, 747, 0, FS, III
115.6, 1033, 1, RS, V
115.6, 1040, 1, RS, V
115.6, 1117, 1, RS, V
115.6, 1120, 1, RS, V
115.6, 1401, 1, RS, III
115.7, 727, 0, FS, III
115.7, 735, 0, FS, III
115.7, 742, 0, FS, III
115.7, 1035, 1, RS, V
115.7, 2271, 2, FS, III
115.8, 745, 0, FS, III
115.8, 1098, 1, RS, V
115.8, 1106, 1, RS, V
115.8, 1173, 1, IB, V
115.8, 2253, 2, FS, III
115.8, 2261, 2, FS, III
115.9, 719, 0, FS, III
115.9, 721, 0, FS, III
115.9, 729, 0, FS, III
115.9, 744, 0, FS, III
115.9, 1087, 1, RS, V
115.9, 2243, 2, FS, III
115.9, 2247, 2, FS, III
115.9, 2248, 2, FS, III
115.9, 2251, 2, FS, III
115.9, 2265, 2, FS, III
